Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Deposit,2022-01-10 07:58:08,,,,,,,,,,500.00,"EUR",,,,,,,"Bank Transfer",953af657-0aa9-43c4-88d6-807dde787b0f,,
Withdrawal,2022-01-10 14:26:15,,,,,,,,,,-100.00,"EUR",,,,,,,,9d1c6e8e-43d3-42a5-bda0-683cd32dfc4a,,
Market buy,2022-01-10 15:20:01,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",0.4657180000,11.14,USD,1.13030,,"EUR",4.60,"EUR",,,,,,,,EOF1743235305,0.01,"EUR"
Market buy,2022-01-10 15:20:01,US09075V1026,BNTX,"BioNTech",0.0380077000,205.20,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235302,0.01,"EUR"
Market buy,2022-01-10 15:20:01,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",0.2475770000,27.91,EUR,1.00000,,"EUR",6.91,"EUR",,,,,,,,EOF1743235299,,
Market buy,2022-01-10 15:20:01,XS2820605314,MSF2,"Leverage Shares 2x Microsoft",0.0449469000,173.52,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235272,0.01,"EUR"
Market buy,2022-01-10 15:20:01,XS2820604853,NVDE,"Leverage Shares 2x NVIDIA",0.0429453000,160.90,EUR,1.00000,,"EUR",6.91,"EUR",,,,,,,,EOF1743235268,,
Market buy,2022-01-10 15:20:01,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.0978600000,70.61,EUR,1.00000,,"EUR",6.91,"EUR",,,,,,,,EOF1743235279,,
Market buy,2022-01-10 15:20:01,US0126531013,ALB,"Albemarle",0.0346200000,225.28,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235276,0.01,"EUR"
Market buy,2022-01-10 15:20:01,US88579Y1010,MMM,"3M",0.0437297000,178.35,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235287,0.01,"EUR"
Market buy,2022-01-10 15:20:01,US5533681012,MP,"MP Materials",0.1799120000,43.35,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235283,0.01,"EUR"
Market buy,2022-01-10 15:20:01,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",0.2303930000,56.37,USD,1.13030,,"EUR",11.51,"EUR",,,,,,,,EOF1743235296,0.02,"EUR"
Market buy,2022-01-10 15:20:01,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.0623138000,125.16,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235293,0.01,"EUR"
Market buy,2022-01-10 15:20:01,IE00BK5BZY66,2TSE,"Leverage Shares 2x Tesla",0.0116089000,595.22,EUR,1.00000,,"EUR",6.91,"EUR",,,,,,,,EOF1743235290,,
Market buy,2022-01-10 15:20:01,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",0.0953350000,72.48,EUR,1.00000,,"EUR",6.91,"EUR",,,,,,,,EOF1743235256,,
Market buy,2022-01-10 15:20:01,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",1.6148300000,4.28,EUR,1.00000,,"EUR",6.91,"EUR",,,,,,,,EOF1743235265,,
Market buy,2022-01-10 15:20:02,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.5889270000,31.29,EUR,1.00000,,"EUR",18.43,"EUR",,,,,,,,EOF1743235343,,
Market buy,2022-01-10 15:20:02,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",0.0415846000,124.76,USD,1.13030,,"EUR",4.60,"EUR",,,,,,,,EOF1743235340,0.01,"EUR"
Market buy,2022-01-10 15:20:03,CA7063271034,PBA,"Pembina Pipeline",0.2524010000,30.90,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235351,0.01,"EUR"
Market buy,2022-01-10 15:20:03,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",1.2193700000,2.13,USD,1.13030,,"EUR",2.30,"EUR",,,,,,,,EOF1743235347,,
Market buy,2022-01-10 15:20:03,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",3.1178400000,1.66,USD,1.13030,,"EUR",4.60,"EUR",,,,,,,,EOF1743235357,0.01,"EUR"
Market buy,2022-01-10 15:20:03,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.1331600000,58.57,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235354,0.01,"EUR"
Market buy,2022-01-10 15:20:04,CA2926717083,UUUU,"Energy Fuels",0.9557800000,8.16,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235367,0.01,"EUR"
Market buy,2022-01-10 15:20:04,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.0899370000,76.83,EUR,1.00000,,"EUR",6.91,"EUR",,,,,,,,EOF1743235361,,
Market buy,2022-01-10 15:20:05,CA1366351098,CSIQ,"Canadian Solar",0.2714650000,28.73,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235377,0.01,"EUR"
Market buy,2022-01-10 15:20:05,US83406F1021,SOFI,"SoFi Technologies",0.4006250000,12.95,USD,1.13030,,"EUR",4.60,"EUR",,,,,,,,EOF1743235374,0.01,"EUR"
Market buy,2022-01-10 15:20:12,CA87971M1032,TU,"TELUS",0.3357380000,23.23,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235411,0.01,"EUR"
Market buy,2022-01-10 15:20:13,US87918A1051,TDOC,"Teladoc Health",0.1002330000,77.81,USD,1.13030,,"EUR",6.91,"EUR",,,,,,,,EOF1743235415,0.01,"EUR"
Market buy,2022-01-10 15:20:17,US25058X3035,DM,"Desktop Metal",1.2065300000,4.30,USD,1.13030,,"EUR",4.60,"EUR",,,,,,,,EOF1743235435,0.01,"EUR"
Market buy,2022-01-10 15:20:27,US26853E1029,EH,"EHang",0.3449530000,15.04,USD,1.13030,,"EUR",4.60,"EUR",,,,,,,,EOF1743235479,0.01,"EUR"
Market buy,2022-01-10 15:20:32,US69608A1088,PLTR,"Palantir",0.5038240000,15.48,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235501,0.01,"EUR"
Market buy,2022-01-10 15:20:38,BMG162581083,BEP,"Brookfield Renewable Partners",0.2328110000,33.50,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235528,0.01,"EUR"
Market buy,2022-01-10 15:20:38,CA89788C1041,TCNNF,"Trulieve Cannabis",0.3074180000,25.37,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235524,0.01,"EUR"
Market buy,2022-01-10 15:20:40,US6549022043,NOK,"Nokia",1.2869900000,6.06,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743235537,0.01,"EUR"
Market buy,2022-01-10 15:22:17,NL0015000F41,LILM,"Lilium",0.7825100000,6.63,USD,1.13029,,"EUR",4.60,"EUR",,,,,,,,EOF1743236282,0.01,"EUR"
Market buy,2022-01-10 15:23:29,CA4433003064,HEOFF,"H2O Innovation",3.5941000000,2.17,USD,1.13031,,"EUR",6.91,"EUR",,,,,,,,EOF1743236526,0.01,"EUR"
Market buy,2022-01-10 15:34:39,US3453708600,F,"Ford Motor",2.0000000000,23.61,USD,1.13128,,"EUR",41.80,"EUR",,,,,,,,EOF1743240557,0.06,"EUR"
Limit buy,2022-01-10 15:38:32,US3453708600,F,"Ford Motor",3.0000000000,23.50,USD,1.13143,,"EUR",62.40,"EUR",,,,,,,,EOF1743242025,0.09,"EUR"
Market sell,2022-01-10 15:43:56,US3453708600,F,"Ford Motor",5.0000000000,23.44,USD,1.13225,-0.54,"EUR",103.35,"EUR",,,,,,,,EOF1743243703,0.16,"EUR"
Withdrawal,2022-01-11 15:01:45,,,,,,,,,,-170.16,"EUR",,,,,,,,2fd6ceff-cdf6-4814-83bf-d963c203ec4e,,
Dividend (Ordinary),2022-01-14 08:27:14,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",1.1788693000,0.39,USD,Not available,,,0.40,"EUR",0.12,USD,,,,,,,,
Deposit,2022-01-18 17:04:24,,,,,,,,,,80.00,"EUR",,,,,,,,14a82187-091c-4599-b912-d0ee671eef4f,,
Deposit,2022-01-18 18:57:37,,,,,,,,,,20.00,"EUR",,,,,,,,6b7d4ca2-18a4-486f-95b5-c7fe546783a2,,
Market buy,2022-01-18 18:58:11,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.0254167000,134.12,USD,1.13252,,"EUR",3.01,"EUR",,,,,,,,EOF1754047072,,
Market buy,2022-01-18 18:58:12,US5533681012,MP,"MP Materials",0.0721610000,47.24,USD,1.13252,,"EUR",3.01,"EUR",,,,,,,,EOF1754047085,,
Market buy,2022-01-18 18:58:13,CA1366351098,CSIQ,"Canadian Solar",0.1231530000,27.68,USD,1.13251,,"EUR",3.01,"EUR",,,,,,,,EOF1754047088,,
Market buy,2022-01-18 18:58:13,US26853E1029,EH,"EHang",0.1384670000,16.44,USD,1.13253,,"EUR",2.01,"EUR",,,,,,,,EOF1754047098,,
Market buy,2022-01-18 18:58:13,US4581401001,INTC,"Intel",0.0414490000,54.92,USD,1.13252,,"EUR",2.01,"EUR",,,,,,,,EOF1754047095,,
Market buy,2022-01-18 18:58:13,BMG162581083,BEP,"Brookfield Renewable Partners",0.1042470000,32.70,USD,1.13251,,"EUR",3.01,"EUR",,,,,,,,EOF1754047091,,
Market buy,2022-01-18 18:58:15,US09075V1026,BNTX,"BioNTech",0.0200135000,170.33,USD,1.13252,,"EUR",3.01,"EUR",,,,,,,,EOF1754047107,,
Market buy,2022-01-18 18:58:15,US0126531013,ALB,"Albemarle",0.0150969000,225.80,USD,1.13251,,"EUR",3.01,"EUR",,,,,,,,EOF1754047104,,
Market buy,2022-01-18 18:58:18,NL0015000F41,LILM,"Lilium",0.3787600000,6.01,USD,1.13251,,"EUR",2.01,"EUR",,,,,,,,EOF1754047117,,
Market buy,2022-01-18 18:58:20,CA87971M1032,TU,"TELUS",0.1430500000,23.83,USD,1.13251,,"EUR",3.01,"EUR",,,,,,,,EOF1754047121,,
Market buy,2022-01-18 18:58:20,US88579Y1010,MMM,"3M",0.0127923000,177.95,USD,1.13253,,"EUR",2.01,"EUR",,,,,,,,EOF1754047124,,
Market buy,2022-01-18 18:58:23,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.0573020000,59.49,USD,1.13252,,"EUR",3.01,"EUR",,,,,,,,EOF1754047129,,
Market buy,2022-01-18 18:58:25,US69608A1088,PLTR,"Palantir",0.2242690000,15.20,USD,1.13252,,"EUR",3.01,"EUR",,,,,,,,EOF1754047133,,
Market buy,2022-01-18 18:58:26,US83406F1021,SOFI,"SoFi Technologies",0.1861320000,12.23,USD,1.13253,,"EUR",2.01,"EUR",,,,,,,,EOF1754047140,,
Market buy,2022-01-18 18:58:32,US87918A1051,TDOC,"Teladoc Health",0.0447830000,76.12,USD,1.13251,,"EUR",3.01,"EUR",,,,,,,,EOF1754047147,,
Market buy,2022-01-18 18:59:36,CA89788C1041,TCNNF,"Trulieve Cannabis",0.1373440000,24.82,USD,1.13251,,"EUR",3.01,"EUR",,,,,,,,EOF1754047241,,
Market buy,2022-01-18 18:59:46,CA7063271034,PBA,"Pembina Pipeline",0.0702370000,32.41,USD,1.13252,,"EUR",2.01,"EUR",,,,,,,,EOF1754047257,,
Market buy,2022-01-18 19:00:14,US25058X3035,DM,"Desktop Metal",0.5579400000,4.08,USD,1.13253,,"EUR",2.01,"EUR",,,,,,,,EOF1754047311,,
Market buy,2022-01-18 19:00:17,US6549022043,NOK,"Nokia",0.5897700000,5.78,USD,1.13251,,"EUR",3.01,"EUR",,,,,,,,EOF1754047330,,
Market buy,2022-01-18 19:00:17,CA2926717083,UUUU,"Energy Fuels",0.5020400000,6.79,USD,1.13250,,"EUR",3.01,"EUR",,,,,,,,EOF1754047333,,
Market buy,2022-01-18 19:38:59,CA4433003064,HEOFF,"H2O Innovation",1.6710200000,2.04,USD,1.13251,,"EUR",3.01,"EUR",,,,,,,,EOF1754050002,,
Market buy,2022-01-19 08:00:31,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",0.0159523000,142.75,USD,1.13293,,"EUR",2.01,"EUR",,,,,,,,EOF1755011626,,
Market buy,2022-01-19 08:00:35,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",0.0978140000,58.03,USD,1.13296,,"EUR",5.02,"EUR",,,,,,,,EOF1755012436,0.01,"EUR"
Market buy,2022-01-19 08:00:36,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",1.1726000000,1.94,USD,1.13292,,"EUR",2.01,"EUR",,,,,,,,EOF1755012603,,
Market buy,2022-01-19 08:00:37,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",0.1981890000,11.49,USD,1.13293,,"EUR",2.01,"EUR",,,,,,,,EOF1755012783,,
Market buy,2022-01-19 08:00:38,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",0.4740100000,2.39,USD,1.13288,,"EUR",1.00,"EUR",,,,,,,,EOF1755013014,,
Market buy,2022-01-19 08:00:39,IE00BK5BZY66,2TSE,"Leverage Shares 2x Tesla",0.0048506000,620.52,EUR,1.00000,,"EUR",3.01,"EUR",,,,,,,,EOF1755013230,,
Market buy,2022-01-19 08:03:51,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",0.7135800000,4.22,EUR,1.00000,,"EUR",3.01,"EUR",,,,,,,,EOF1755014229,,
Market buy,2022-01-19 08:04:07,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.2559740000,31.41,EUR,1.00000,,"EUR",8.04,"EUR",,,,,,,,EOF1755014309,,
Market buy,2022-01-19 08:07:31,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",0.0404550000,74.40,EUR,1.00000,,"EUR",3.01,"EUR",,,,,,,,EOF1755014716,,
Market buy,2022-01-19 08:07:31,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",0.1102120000,27.31,EUR,1.00000,,"EUR",3.01,"EUR",,,,,,,,EOF1755014752,,
Market buy,2022-01-19 08:07:31,XS2820604853,NVDE,"Leverage Shares 2x NVIDIA",0.0187954000,160.14,EUR,1.00000,,"EUR",3.01,"EUR",,,,,,,,EOF1755014743,,
Market buy,2022-01-19 08:07:31,XS2820605314,MSF2,"Leverage Shares 2x Microsoft",0.0201191000,169.50,USD,1.13295,,"EUR",3.01,"EUR",,,,,,,,EOF1755014736,,
Market buy,2022-01-19 08:07:31,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.0390380000,77.10,EUR,1.00000,,"EUR",3.01,"EUR",,,,,,,,EOF1755014723,,
Market buy,2022-01-19 08:07:31,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.0410510000,73.32,EUR,1.00000,,"EUR",3.01,"EUR",,,,,,,,EOF1755014726,,
Deposit,2022-01-19 18:38:01,,,,,,,,,,100.00,"EUR",,,,,,,,ee93ac51-c3d9-4e1d-be29-7c6787875fe0,,
Market buy,2022-01-19 18:38:31,NL0015000F41,LILM,"Lilium",0.3940400000,5.76,USD,1.13483,,"EUR",2.00,"EUR",,,,,,,,EOF1756027837,,
Market buy,2022-01-19 18:38:31,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.0257222000,132.36,USD,1.13486,,"EUR",3.00,"EUR",,,,,,,,EOF1756027834,,
Market buy,2022-01-19 18:38:31,CA7063271034,PBA,"Pembina Pipeline",0.0706190000,32.14,USD,1.13484,,"EUR",2.00,"EUR",,,,,,,,EOF1756027840,,
Market buy,2022-01-19 18:38:31,US69608A1088,PLTR,"Palantir",0.2278840000,14.94,USD,1.13486,,"EUR",3.00,"EUR",,,,,,,,EOF1756027831,,
Market buy,2022-01-19 18:38:31,US87918A1051,TDOC,"Teladoc Health",0.0436200000,78.05,USD,1.13484,,"EUR",3.00,"EUR",,,,,,,,EOF1756027843,,
Market buy,2022-01-19 18:38:31,US0126531013,ALB,"Albemarle",0.0152235000,223.64,USD,1.13486,,"EUR",3.00,"EUR",,,,,,,,EOF1756027849,,
Market buy,2022-01-19 18:38:31,US09075V1026,BNTX,"BioNTech",0.0204701000,166.32,USD,1.13486,,"EUR",3.00,"EUR",,,,,,,,EOF1756027846,,
Market buy,2022-01-19 18:38:32,US4581401001,INTC,"Intel",0.0417140000,54.41,USD,1.13482,,"EUR",2.00,"EUR",,,,,,,,EOF1756027853,,
Market buy,2022-01-19 18:38:32,CA1366351098,CSIQ,"Canadian Solar",0.1266590000,26.88,USD,1.13486,,"EUR",3.00,"EUR",,,,,,,,EOF1756027856,,
Market buy,2022-01-19 18:38:32,US83406F1021,SOFI,"SoFi Technologies",0.1580570000,14.36,USD,1.13484,,"EUR",2.00,"EUR",,,,,,,,EOF1756027859,,
Market buy,2022-01-19 18:38:32,US25058X3035,DM,"Desktop Metal",0.5549300000,4.09,USD,1.13483,,"EUR",2.00,"EUR",,,,,,,,EOF1756027863,,
Market buy,2022-01-19 18:38:33,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.0563480000,60.42,USD,1.13484,,"EUR",3.00,"EUR",,,,,,,,EOF1756027869,,
Market buy,2022-01-19 18:38:33,CA2926717083,UUUU,"Energy Fuels",0.4856700000,7.01,USD,1.13484,,"EUR",3.00,"EUR",,,,,,,,EOF1756027866,,
Market buy,2022-01-19 18:38:34,US5533681012,MP,"MP Materials",0.0745960000,45.64,USD,1.13485,,"EUR",3.00,"EUR",,,,,,,,EOF1756027874,,
Market buy,2022-01-19 18:38:37,CA4433003064,HEOFF,"H2O Innovation",1.6938300000,2.01,USD,1.13486,,"EUR",3.00,"EUR",,,,,,,,EOF1756027881,,
Market buy,2022-01-19 18:38:56,BMG162581083,BEP,"Brookfield Renewable Partners",0.1024550000,33.23,USD,1.13485,,"EUR",3.00,"EUR",,,,,,,,EOF1756027895,,
Market buy,2022-01-19 18:38:59,US88579Y1010,MMM,"3M",0.0126417000,179.54,USD,1.13484,,"EUR",2.00,"EUR",,,,,,,,EOF1756027904,,
Market buy,2022-01-19 18:39:19,CA89788C1041,TCNNF,"Trulieve Cannabis",0.1401640000,24.29,USD,1.13486,,"EUR",3.00,"EUR",,,,,,,,EOF1756027926,,
Market buy,2022-01-19 18:40:12,US26853E1029,EH,"EHang",0.1399320000,16.22,USD,1.13484,,"EUR",2.00,"EUR",,,,,,,,EOF1756027974,,
Market buy,2022-01-19 18:40:20,CA87971M1032,TU,"TELUS",0.1426300000,23.87,USD,1.13485,,"EUR",3.00,"EUR",,,,,,,,EOF1756027981,,
Market buy,2022-01-19 18:50:16,US6549022043,NOK,"Nokia",0.5910700000,5.76,USD,1.13485,,"EUR",3.00,"EUR",,,,,,,,EOF1756028656,,
Market buy,2022-01-20 08:00:35,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",0.4307100000,2.64,USD,1.13578,,"EUR",1.00,"EUR",,,,,,,,EOF1756043182,,
Market buy,2022-01-20 08:00:35,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",0.0956750000,59.24,USD,1.13582,,"EUR",5.00,"EUR",,,,,,,,EOF1756043150,0.01,"EUR"
Market buy,2022-01-20 08:00:35,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",0.1897740000,11.97,USD,1.13579,,"EUR",2.00,"EUR",,,,,,,,EOF1756043099,,
Market buy,2022-01-20 08:00:35,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",1.0900100000,2.08,USD,1.13579,,"EUR",2.00,"EUR",,,,,,,,EOF1756043094,,
Market buy,2022-01-20 08:00:41,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",0.6451300000,4.65,EUR,1.00000,,"EUR",3.00,"EUR",,,,,,,,EOF1756043542,,
Market buy,2022-01-20 08:00:43,IE00BK5BZY66,2TSE,"Leverage Shares 2x Tesla",0.0049750000,602.99,EUR,1.00000,,"EUR",3.00,"EUR",,,,,,,,EOF1756043553,,
Market buy,2022-01-20 08:00:59,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",0.0136835000,166.01,USD,1.13579,,"EUR",2.00,"EUR",,,,,,,,EOF1756043625,,
Market buy,2022-01-20 08:04:11,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",0.2505130000,31.93,EUR,1.00000,,"EUR",8.00,"EUR",,,,,,,,EOF1756044198,,
Market buy,2022-01-20 08:06:27,XS2820604853,NVDE,"Leverage Shares 2x NVIDIA",0.0195969000,153.08,EUR,1.00000,,"EUR",3.00,"EUR",,,,,,,,EOF1756044451,,
Market buy,2022-01-20 08:06:27,XS2820605314,MSF2,"Leverage Shares 2x Microsoft",0.0195889000,173.95,USD,1.13582,,"EUR",3.00,"EUR",,,,,,,,EOF1756044427,,
Market buy,2022-01-20 08:06:27,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.0392040000,76.52,EUR,1.00000,,"EUR",3.00,"EUR",,,,,,,,EOF1756044433,,
Market buy,2022-01-20 08:06:27,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",0.1050380000,28.56,EUR,1.00000,,"EUR",3.00,"EUR",,,,,,,,EOF1756044424,,
Market buy,2022-01-20 08:06:27,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",0.0415610000,72.18,EUR,1.00000,,"EUR",3.00,"EUR",,,,,,,,EOF1756044440,,
Market buy,2022-01-20 08:08:45,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",0.0391730000,76.58,EUR,1.00000,,"EUR",3.00,"EUR",,,,,,,,EOF1756044590,,
Deposit,2022-01-21 16:21:25,,,,,,,,,,200.00,"EUR",,,201.40,"EUR",-1.40,"EUR","Transaction ID: 4326427820846033",7136c4cc-9573-45b1-86c9-7e303dec4e3d,,
Market buy,2022-01-21 16:22:26,IE00BD09ZW40,NFL2,"Leverage Shares 2x Netflix",4.0401715000,39.00,USD,1.13447,,"EUR",139.10,"EUR",,,,,,,,EOF1759138509,0.21,"EUR"
Market buy,2022-01-21 16:24:24,IE00BD09ZW40,NFL2,"Leverage Shares 2x Netflix",1.5000000000,39.78,USD,1.13397,,"EUR",52.70,"EUR",,,,,,,,EOF1759138872,0.08,"EUR"
Deposit,2022-01-21 16:47:53,,,,,,,,,,500.00,"EUR",,,503.50,"EUR",-3.50,"EUR","Transaction ID: 6259427836392630",34bbcbb2-27fa-40a7-9db3-85be70a5def2,,
Market buy,2022-01-21 16:48:11,US4581401001,INTC,"Intel",0.2147620000,52.70,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142620,0.01,"EUR"
Market buy,2022-01-21 16:48:11,CA7063271034,PBA,"Pembina Pipeline",0.3617130000,31.29,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142623,0.01,"EUR"
Market buy,2022-01-21 16:48:11,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.1344436000,126.36,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142617,0.02,"EUR"
Market buy,2022-01-21 16:48:11,US88579Y1010,MMM,"3M",0.0646484000,175.07,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142629,0.01,"EUR"
Market buy,2022-01-21 16:48:11,US0126531013,ALB,"Albemarle",0.0786204000,216.08,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142626,0.02,"EUR"
Market buy,2022-01-21 16:48:12,BMG162581083,BEP,"Brookfield Renewable Partners",0.5254650000,32.33,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142644,0.02,"EUR"
Market buy,2022-01-21 16:48:12,CA2926717083,UUUU,"Energy Fuels",2.6795400000,6.34,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142647,0.02,"EUR"
Market buy,2022-01-21 16:48:12,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.2787700000,60.94,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142635,0.02,"EUR"
Market buy,2022-01-21 16:48:12,US87918A1051,TDOC,"Teladoc Health",0.1507250000,75.09,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142641,0.01,"EUR"
Market buy,2022-01-21 16:48:12,US09075V1026,BNTX,"BioNTech",0.1132025000,150.07,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142638,0.02,"EUR"
Market buy,2022-01-21 16:48:14,US83406F1021,SOFI,"SoFi Technologies",0.7953610000,14.23,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142652,0.01,"EUR"
Market buy,2022-01-21 16:48:16,CA1366351098,CSIQ,"Canadian Solar",0.4421090000,25.60,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142656,0.01,"EUR"
Market buy,2022-01-21 16:48:16,US25058X3035,DM,"Desktop Metal",3.1179000000,3.63,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142659,0.01,"EUR"
Market buy,2022-01-21 16:48:16,US5533681012,MP,"MP Materials",0.4179160000,40.65,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142662,0.02,"EUR"
Market buy,2022-01-21 16:48:17,US26853E1029,EH,"EHang",0.6365570000,17.78,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142670,0.01,"EUR"
Market buy,2022-01-21 16:48:24,US69608A1088,PLTR,"Palantir",1.2248230000,13.87,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142689,0.02,"EUR"
Market buy,2022-01-21 16:48:25,NL0015000F41,LILM,"Lilium",2.1354700000,5.30,USD,1.13406,,"EUR",9.99,"EUR",,,,,,,,EOF1759142693,0.01,"EUR"
Market buy,2022-01-21 16:48:37,CA87971M1032,TU,"TELUS",0.7238300000,23.47,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142716,0.02,"EUR"
Market buy,2022-01-21 16:49:25,CA89788C1041,TCNNF,"Trulieve Cannabis",0.7746600000,21.93,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142808,0.02,"EUR"
Market buy,2022-01-21 16:49:42,CA4433003064,HEOFF,"H2O Innovation",8.9412100000,1.90,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759142849,0.02,"EUR"
Market buy,2022-01-21 16:51:24,US6549022043,NOK,"Nokia",3.0282100000,5.61,USD,1.13406,,"EUR",15.00,"EUR",,,,,,,,EOF1759143030,0.02,"EUR"
Market buy,2022-01-24 08:00:32,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",0.0714543000,158.28,USD,1.13211,,"EUR",10.00,"EUR",,,,,,,,EOF1760076143,0.01,"EUR"
Market buy,2022-01-24 08:00:35,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",2.1253500000,2.66,USD,1.13210,,"EUR",5.00,"EUR",,,,,,,,EOF1760077168,0.01,"EUR"
Market buy,2022-01-24 08:00:35,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",0.9617170000,11.76,USD,1.13211,,"EUR",10.00,"EUR",,,,,,,,EOF1760077148,0.01,"EUR"
Market buy,2022-01-24 08:00:35,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",0.4786480000,59.06,USD,1.13211,,"EUR",25.00,"EUR",,,,,,,,EOF1760077330,0.03,"EUR"
