Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Lending interest,2024-02-08 01:18:42.034,,,,,,,,,,0.01,"EUR",,,"Share lending interest",cbe5dd0e-0aaf-4c11-aa36-91a55ea23be0,,,,,,
Interest on cash,2024-02-08 22:02:19.448,,,,,,,,,,0.01,"EUR",,,"Interest on cash",bf2b038a-d13e-4aa2-9595-490cd869d814,,,,,,
Lending interest,2024-02-09 01:21:29.578,,,,,,,,,,0.02,"EUR",,,"Share lending interest",df36aa73-ddeb-442f-8afd-c8f386701796,,,,,,
Lending interest,2024-02-10 01:22:03.672,,,,,,,,,,0.01,"EUR",,,"Share lending interest",dc4dbe28-e925-410e-bc43-8296ea79eefd,,,,,,
Interest on cash,2024-02-10 22:02:55.785,,,,,,,,,,0.01,"EUR",,,"Interest on cash",bb3defde-e133-4135-a323-449a3995d7f3,,,,,,
Lending interest,2024-02-12 01:28:04.391,,,,,,,,,,0.03,"EUR",,,"Share lending interest",b5f8a3a2-e801-45b4-995c-f7ca03e6eb36,,,,,,
Interest on cash,2024-02-12 22:00:53.225,,,,,,,,,,0.01,"EUR",,,"Interest on cash",acdcb254-4a32-4c65-8202-05e7da76e961,,,,,,
Lending interest,2024-02-13 01:30:04.21,,,,,,,,,,0.01,"EUR",,,"Share lending interest",b4b38679-1ef5-41f8-a90e-4fb9ee7dc49d,,,,,,
Dividend (Dividend),2024-02-13 10:19:38,US6549022043,NOK,"Nokia",37.0000000000,0.02,USD,Not available,,,0.72,"EUR",0.42,USD,,,,,,,,
Interest on cash,2024-02-13 22:00:49.142,,,,,,,,,,0.01,"EUR",,,"Interest on cash",b8000621-add7-4a79-a428-1789f0b8397a,,,,,,
Lending interest,2024-02-14 01:27:51.968,,,,,,,,,,0.07,"EUR",,,"Share lending interest",04fc9341-57b0-4d79-804f-a2e4c93f1ff9,,,,,,
Lending interest,2024-02-15 01:26:45.803,,,,,,,,,,0.04,"EUR",,,"Share lending interest",f0e7bdbd-53f8-4c4c-87eb-364a5bc249ed,,,,,,
Interest on cash,2024-02-15 22:00:40.005,,,,,,,,,,0.01,"EUR",,,"Interest on cash",b82faaa3-0405-4b6a-8a8a-7236a3e7c04a,,,,,,
Lending interest,2024-02-16 01:28:48.643,,,,,,,,,,0.03,"EUR",,,"Share lending interest",6338d693-a2ec-402e-b71a-bf5c8d0e08ef,,,,,,
Lending interest,2024-02-17 01:27:48.683,,,,,,,,,,0.02,"EUR",,,"Share lending interest",6bad0a63-7253-44a4-aa3d-15e6fbf60bd6,,,,,,
Interest on cash,2024-02-17 22:00:36.136,,,,,,,,,,0.01,"EUR",,,"Interest on cash",c814bce7-eb6e-4507-a3a0-35321b8e5c94,,,,,,
Interest on cash,2024-02-19 22:00:24.27,,,,,,,,,,0.01,"EUR",,,"Interest on cash",88c17a4c-4538-46d5-9672-7139c6298087,,,,,,
Lending interest,2024-02-20 01:31:40.992,,,,,,,,,,0.03,"EUR",,,"Share lending interest",17f39ba9-fcad-45c0-bad6-5dd9b3ef3c80,,,,,,
Interest on cash,2024-02-20 22:00:24.855,,,,,,,,,,0.01,"EUR",,,"Interest on cash",3a25aa2d-0ca4-4588-8c7e-8e8f2d87e54a,,,,,,
Lending interest,2024-02-21 01:27:16.335,,,,,,,,,,0.05,"EUR",,,"Share lending interest",1ad310e2-dd26-40ec-be2b-2071dd85cee4,,,,,,
Lending interest,2024-02-22 01:24:45.25,,,,,,,,,,0.02,"EUR",,,"Share lending interest",24353968-4162-437d-88b0-f95fb5919180,,,,,,
Interest on cash,2024-02-22 22:00:24.68,,,,,,,,,,0.01,"EUR",,,"Interest on cash",7b97dfeb-cafa-4ae9-ac47-f8694672e86b,,,,,,
Lending interest,2024-02-23 01:25:26.874,,,,,,,,,,0.02,"EUR",,,"Share lending interest",24f40a57-34dd-4b50-937a-89a20bc4da19,,,,,,
Lending interest,2024-02-24 20:17:11.538,,,,,,,,,,0.01,"EUR",,,"Share lending interest",c3a29021-e0e7-4dc5-b12a-5bd916e98042,,,,,,
Interest on cash,2024-02-24 22:00:25.284,,,,,,,,,,0.01,"EUR",,,"Interest on cash",5255b394-3167-49e0-8a5d-1cdd84e8d7e1,,,,,,
Lending interest,2024-02-26 01:26:10.703,,,,,,,,,,0.02,"EUR",,,"Share lending interest",9f901424-4456-4d68-9167-ffc0ec3e7fd0,,,,,,
Interest on cash,2024-02-26 22:00:25.752,,,,,,,,,,0.01,"EUR",,,"Interest on cash",b2de2b60-fc63-4f52-9d90-f1ecc94de917,,,,,,
Lending interest,2024-02-27 01:29:45.95,,,,,,,,,,0.03,"EUR",,,"Share lending interest",707a7f93-9bb4-424a-ad51-3ee3b589b1b1,,,,,,
Interest on cash,2024-02-27 22:00:25.193,,,,,,,,,,0.01,"EUR",,,"Interest on cash",6f8c8742-4019-4c3c-9461-5ecefd7d2dc3,,,,,,
Lending interest,2024-02-28 01:13:19.732,,,,,,,,,,0.01,"EUR",,,"Share lending interest",95fd9236-57e0-431f-a619-88f197c9f614,,,,,,
Deposit,2024-02-28 17:30:12.348,,,,,,,,,,100.00,"EUR",,,"Bank Transfer",97931a9d-52af-4c8f-bf2f-3010057d5b25,,,,,,
Deposit,2024-02-28 17:45:05.927,,,,,,,,,,2000.00,"EUR",,,"Bank Transfer",5df12e1a-61da-4dbf-a9e3-db821901f48b,,,,,,
Currency conversion,2024-02-28 17:46:05.693,,,,,,,,,,-3.41,"USD",,,"2100 EUR -> 2275.60 USD",4V7H72R78SMJMNKA,2100.00,"EUR",2275.60,"USD",-3.41,"USD"
Deposit,2024-02-28 18:00:07.735,,,,,,,,,,2000.00,"EUR",,,"Bank Transfer",20968e2d-2204-40a6-9efb-6adac7d34d54,,,,,,
Currency conversion,2024-02-28 18:01:47.363,,,,,,,,,,-3.25,"USD",,,"2000 EUR -> 2167.66 USD",6MSUNSPV8N0AETW7,2000.00,"EUR",2167.66,"USD",-3.25,"USD"
Interest on cash,2024-02-28 22:00:25.311,,,,,,,,,,0.60,"USD",,,"Interest on cash",de16c3e7-bfc1-43ec-9a09-762db8194838,,,,,,
Lending interest,2024-02-29 01:13:40.654,,,,,,,,,,0.02,"EUR",,,"Share lending interest",a5e5c5ac-8374-4819-aadb-02cb6b266e40,,,,,,
Dividend (Dividend),2024-02-29 13:40:14,US1252691001,CF,"CF Industries",1.5000000000,0.43,USD,Not available,,,0.59,"EUR",0.11,USD,,,,,,,,
Interest on cash,2024-02-29 22:00:23.716,,,,,,,,,,0.01,"EUR",,,"Interest on cash",c907a065-bf0e-4a55-8ed1-925dcfd97e55,,,,,,
Interest on cash,2024-02-29 22:00:23.789,,,,,,,,,,0.60,"USD",,,"Interest on cash",b2732078-0a55-4614-812d-598b5ea33800,,,,,,
Lending interest,2024-03-01 01:13:23.975,,,,,,,,,,0.01,"EUR",,,"Share lending interest",ae2da6ac-f491-4f50-a7c0-da72cbc66dd9,,,,,,
Dividend (Dividend),2024-03-01 14:30:55,US7170811035,PFE,"Pfizer",4.0000000000,0.36,USD,Not available,,,1.32,"EUR",0.25,USD,,,,,,,,
Interest on cash,2024-03-01 22:00:26.793,,,,,,,,,,0.61,"USD",,,"Interest on cash",c229545e-1a25-4691-b8dc-ea8b9b137dbd,,,,,,
Lending interest,2024-03-02 01:13:33.692,,,,,,,,,,0.04,"EUR",,,"Share lending interest",780e9cff-0f4a-49e7-9946-3dd92ae42ecd,,,,,,
Interest on cash,2024-03-02 22:00:28.749,,,,,,,,,,0.01,"EUR",,,"Interest on cash",e2704eaa-d7f5-4f6f-bc4a-49183b2aae29,,,,,,
Interest on cash,2024-03-02 22:00:28.829,,,,,,,,,,0.60,"USD",,,"Interest on cash",aa9e33ac-e8dd-4132-aedb-abc2372eb7ce,,,,,,
Interest on cash,2024-03-03 22:00:28.431,,,,,,,,,,0.61,"USD",,,"Interest on cash",85c123ad-af3f-4a94-81fd-82c4d1caf84c,,,,,,
Lending interest,2024-03-04 01:14:01.573,,,,,,,,,,0.11,"EUR",,,"Share lending interest",a09a4c60-2731-4284-872a-f60631c0973d,,,,,,
Interest on cash,2024-03-04 22:00:26.781,,,,,,,,,,0.01,"EUR",,,"Interest on cash",3f4187bc-6048-4ad6-b344-3ee04fbd8022,,,,,,
Interest on cash,2024-03-04 22:00:26.828,,,,,,,,,,0.60,"USD",,,"Interest on cash",c517e7fc-06a8-4f54-b5be-52648fccad40,,,,,,
Lending interest,2024-03-05 01:13:36.127,,,,,,,,,,0.04,"EUR",,,"Share lending interest",57886103-407b-4e9b-b6cd-75008506868a,,,,,,
Interest on cash,2024-03-05 22:00:26.644,,,,,,,,,,0.01,"EUR",,,"Interest on cash",1e9d3c3e-7b45-43e7-8403-7eb23313b2c4,,,,,,
Interest on cash,2024-03-05 22:00:26.697,,,,,,,,,,0.61,"USD",,,"Interest on cash",806cbaab-9c73-4b35-b980-337beb4fcf3f,,,,,,
Lending interest,2024-03-06 01:13:07.576,,,,,,,,,,0.03,"EUR",,,"Share lending interest",0c7176f2-1e27-44c8-b3e2-aee411b5ccde,,,,,,
Market sell,2024-03-06 19:37:00.52,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.3000000000,142.40,USD,1.08979,7.30,"EUR",39.14,"EUR",,,,EOF11301547225,,,,,0.06,"EUR"
Market sell,2024-03-06 19:37:19.461,MHY8162K2046,SBLK,"Star Bulk Carriers",2.0000000000,24.13,USD,1.08988,3.15,"EUR",44.21,"EUR",,,,EOF11301547242,,,,,0.07,"EUR"
Market buy,2024-03-06 19:39:17.251,US8334451098,SNOW,"Snowflake",0.3000000000,165.10,USD,1.00000,,"USD",49.53,"USD",,,,EOF11301547498,,,,,,
Currency conversion,2024-03-06 19:43:12.747,,,,,,,,,,-0.07,"USD",,,"45.53 EUR -> 49.60 USD",NATNXP68Z23IGPW5,45.53,"EUR",49.60,"USD",-0.07,"USD"
Market buy,2024-03-06 19:43:43.574,US7170811035,PFE,"Pfizer",1.0000000000,27.16,USD,1.08945,,"EUR",24.97,"EUR",,,,EOF11301548098,,,,,0.04,"EUR"
Market buy,2024-03-06 19:44:18.161,US76954A1034,RIVN,"Rivian Automotive",1.5000000000,10.95,USD,1.08991,,"EUR",15.09,"EUR",,,,EOF11301548159,,,,,0.02,"EUR"
Interest on cash,2024-03-06 22:00:25.942,,,,,,,,,,0.60,"USD",,,"Interest on cash",e3015070-950f-40d4-927e-951dca1e4a5b,,,,,,
Lending interest,2024-03-07 07:47:45.412,,,,,,,,,,0.03,"EUR",,,"Share lending interest",f85cb3ad-5263-4b97-9180-3f83e5f4461a,,,,,,
Deposit,2024-03-07 08:01:12.538,,,,,,,,,,500.00,"EUR",,,"Bank Transfer",12dfeb59-bc03-4712-b611-7687a74dff90,,,,,,
Market buy,2024-03-07 15:55:01.469,US0126531013,ALB,"Albemarle",0.3000000000,119.84,USD,1.09243,,"EUR",32.96,"EUR",,,,EOF11350934488,,,,,0.05,"EUR"
Market buy,2024-03-07 15:55:15.736,LU0832435464,VOOL,"Amundi S&P 500 VIX Futures Enhanced Roll (Acc)",40.0000000000,1.25,EUR,1.00000,,"EUR",50.14,"EUR",,,,EOF11350934542,,,,,,
Market buy,2024-03-07 15:56:07.832,US00202F1021,AMKBY,"AP Moller Maersk",5.0000000000,6.92,USD,1.09251,,"EUR",31.72,"EUR",,,,EOF11350934638,,,,,0.05,"EUR"
Market buy,2024-03-07 15:56:15.232,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",70.0000000000,1.11,EUR,1.00000,,"EUR",77.48,"EUR",,,,EOF11350934654,,,,,,
Market buy,2024-03-07 15:56:36.884,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",30.0000000000,1.73,USD,1.09228,,"EUR",47.64,"EUR",,,,EOF11350934725,,,,,0.07,"EUR"
