Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Notes,ID,Currency conversion from amount,Currency (Currency conversion from amount),Currency conversion to amount,Currency (Currency conversion to amount),Currency conversion fee,Currency (Currency conversion fee)
Interest on cash,2024-03-20 22:00:37.373,,,,,,,,,,0.01,"EUR",,,"Interest on cash",6836298b-f7e3-441e-9eb4-fb885dae0ee7,,,,,,
Interest on cash,2024-03-20 22:00:37.448,,,,,,,,,,0.61,"USD",,,"Interest on cash",659903f5-3df3-416f-863e-809696270d03,,,,,,
Lending interest,2024-03-21 01:10:06.409,,,,,,,,,,0.05,"EUR",,,"Share lending interest",85126859-d56e-4487-9ef9-5e12a9c1a721,,,,,,
Dividend (Dividend),2024-03-21 13:48:17,US61945C1036,MOS,"Mosaic",6.0003540000,0.18,USD,Not available,,,0.98,"EUR",0.19,USD,,,,,,,,
Interest on cash,2024-03-21 22:00:41.388,,,,,,,,,,0.01,"EUR",,,"Interest on cash",8c17bc38-6d18-4bc7-8c3c-90bac7726247,,,,,,
Interest on cash,2024-03-21 22:00:41.436,,,,,,,,,,0.60,"USD",,,"Interest on cash",0bab6177-7861-49d6-b6ee-083d481f83e5,,,,,,
Lending interest,2024-03-22 01:12:15.63,,,,,,,,,,0.06,"EUR",,,"Share lending interest",a53423d7-fdff-4e32-bee0-106f945c363c,,,,,,
Interest on cash,2024-03-22 22:00:43.436,,,,,,,,,,0.61,"USD",,,"Interest on cash",8e7d3bac-0033-4084-a463-fe4af484dad0,,,,,,
Lending interest,2024-03-23 01:12:11.497,,,,,,,,,,0.05,"EUR",,,"Share lending interest",76472912-c499-4267-a7ea-07773741acfa,,,,,,
Interest on cash,2024-03-23 22:00:49.461,,,,,,,,,,0.01,"EUR",,,"Interest on cash",0ff070ae-9550-43a1-a750-28d4389f7b45,,,,,,
Interest on cash,2024-03-23 22:00:49.556,,,,,,,,,,0.61,"USD",,,"Interest on cash",36d59347-9d6b-426a-a022-b512b57723f7,,,,,,
Interest on cash,2024-03-24 22:00:43.666,,,,,,,,,,0.01,"EUR",,,"Interest on cash",0004f4c7-ab2b-4370-92f0-7caaf49ad870,,,,,,
Interest on cash,2024-03-24 22:00:43.739,,,,,,,,,,0.60,"USD",,,"Interest on cash",fadc0286-626c-470e-a308-b466126a746d,,,,,,
Lending interest,2024-03-25 01:12:52.435,,,,,,,,,,0.09,"EUR",,,"Share lending interest",900b4c1b-8a46-474c-8878-472593001a07,,,,,,
Market buy,2024-03-25 14:09:53.544,US8334451098,SNOW,"Snowflake",0.1000000000,158.40,USD,1.08344,,"EUR",14.64,"EUR",,,,EOF12101892908,,,,,0.02,"EUR"
Market buy,2024-03-25 15:29:40.5,US5494981039,LCID,"Lucid",1.0000000000,2.95,USD,1.08455,,"EUR",2.72,"EUR",,,,EOF12102868182,,,,,,
Market sell,2024-03-25 18:49:43.445,US4278661081,HSY,"Hershey",0.5720000000,193.05,USD,1.08365,1.06,"EUR",101.75,"EUR",,,,EOF12102895352,,,,,0.15,"EUR"
Market buy,2024-03-25 18:50:12.058,US76954A1034,RIVN,"Rivian Automotive",4.0000000000,10.64,USD,1.08350,,"EUR",39.34,"EUR",,,,EOF12102895449,,,,,0.06,"EUR"
Market buy,2024-03-25 18:50:27.759,US76954A1034,RIVN,"Rivian Automotive",0.5000000000,10.64,USD,1.08350,,"EUR",4.92,"EUR",,,,EOF12102895477,,,,,0.01,"EUR"
Market buy,2024-03-25 18:50:57.366,US8334451098,SNOW,"Snowflake",0.2000000000,158.52,USD,1.08352,,"EUR",29.30,"EUR",,,,EOF12102895506,,,,,0.04,"EUR"
Market buy,2024-03-25 18:54:02.315,US5494981039,LCID,"Lucid",2.0000000000,2.98,USD,1.08363,,"EUR",5.51,"EUR",,,,EOF12102895764,,,,,0.01,"EUR"
Market buy,2024-03-25 19:01:21.735,NL0015000F41,LILM,"Lilium",2.0000000000,0.93,USD,1.08104,,"EUR",1.72,"EUR",,,,EOF12102896675,,,,,,
Market sell,2024-03-25 19:01:21.746,NL0015000F41,LILM,"Lilium",1.2482700000,0.93,USD,1.08202,-4.86,"EUR",1.07,"EUR",,,,EOF12102896676,,,,,,
Market buy,2024-03-25 19:01:21.757,NL0015000F41,LILM,"Lilium",20.0000000000,0.93,USD,1.08356,,"EUR",17.19,"EUR",,,,EOF12102896678,,,,,0.03,"EUR"
Interest on cash,2024-03-25 22:00:43.672,,,,,,,,,,0.61,"USD",,,"Interest on cash",6da4e979-2a18-4ca2-9170-ed99253c30c7,,,,,,
Lending interest,2024-03-26 01:11:34.815,,,,,,,,,,0.02,"EUR",,,"Share lending interest",9ae37bb7-e8a6-4c4f-9de0-8f71088ec0c9,,,,,,
Interest on cash,2024-03-26 22:00:42.529,,,,,,,,,,0.01,"EUR",,,"Interest on cash",9197d9ef-3be2-4fcd-bcd6-d1534edd3ccd,,,,,,
Interest on cash,2024-03-26 22:00:42.604,,,,,,,,,,0.61,"USD",,,"Interest on cash",fecd15a4-69e1-4193-8937-e829e4b79eb4,,,,,,
Interest on cash,2024-03-27 22:00:41.876,,,,,,,,,,0.01,"EUR",,,"Interest on cash",4cd95c68-dd4a-4ba0-b799-c11695ad105a,,,,,,
Interest on cash,2024-03-27 22:00:41.936,,,,,,,,,,0.60,"USD",,,"Interest on cash",984efb43-cdbe-4687-a5cc-683210d1e0b1,,,,,,
Dividend (Dividend),2024-03-28 14:36:05,US6516391066,NEM,"Newmont",4.0000000000,0.21,USD,Not available,,,0.79,"EUR",0.15,USD,,,,,,,,
Dividend (Dividend),2024-03-28 14:39:23,MHY8162K2046,SBLK,"Star Bulk Carriers",5.0000000000,0.45,USD,Not available,,,2.08,"EUR",0.00,USD,,,,,,,,
Interest on cash,2024-03-28 22:00:42.237,,,,,,,,,,0.61,"USD",,,"Interest on cash",0469a90b-3327-47d0-a6fb-addf395cb2db,,,,,,
Interest on cash,2024-03-29 22:00:42.313,,,,,,,,,,0.01,"EUR",,,"Interest on cash",dc86be6d-2f0e-40c2-8d32-8c020c8d9625,,,,,,
Interest on cash,2024-03-29 22:00:42.368,,,,,,,,,,0.60,"USD",,,"Interest on cash",50791f88-661b-4c99-9ccc-6916410863a0,,,,,,
Interest on cash,2024-03-30 22:00:46.613,,,,,,,,,,0.61,"USD",,,"Interest on cash",0ba1eb1a-6fe9-4e96-a501-60e33ed46c2d,,,,,,
Interest on cash,2024-03-31 21:00:46.475,,,,,,,,,,0.01,"EUR",,,"Interest on cash",dc7242fb-e8d0-4301-bfa5-b8bc4bbd9964,,,,,,
Interest on cash,2024-03-31 21:00:46.566,,,,,,,,,,0.61,"USD",,,"Interest on cash",f85c264d-9730-4e55-913e-46e82c37e81c,,,,,,
Dividend (Dividend),2024-04-01 09:11:59,US0126531013,ALB,"Albemarle",1.3000253200,0.34,USD,Not available,,,0.41,"EUR",0.08,USD,,,,,,,,
Interest on cash,2024-04-01 21:00:42.457,,,,,,,,,,0.01,"EUR",,,"Interest on cash",43343d2c-f6f8-4ddf-ba2f-46a1f064407f,,,,,,
Interest on cash,2024-04-01 21:00:42.501,,,,,,,,,,0.61,"USD",,,"Interest on cash",ac4432a5-215a-4b7e-9226-1003a75a1897,,,,,,
Interest on cash,2024-04-02 21:00:43.787,,,,,,,,,,0.60,"USD",,,"Interest on cash",781f074b-a647-48fe-808f-695b40a427ba,,,,,,
Dividend (Dividend),2024-04-03 09:03:44,US00202F1021,AMKBY,"AP Moller Maersk",21.0000000000,0.27,USD,Not available,,,5.33,"EUR",2.12,USD,,,,,,,,
Market buy,2024-04-03 10:19:04.213,IE00BSKRJZ44,IDTL,"iShares USD Treasury Bond 20+yr (Dist)",3.0000000000,3.43,USD,1.07701,,"EUR",9.56,"EUR",,,,EOF12454398292,,,,,0.01,"EUR"
Market buy,2024-04-03 10:19:46.912,IE00BSKRJZ44,IDTL,"iShares USD Treasury Bond 20+yr (Dist)",1.0000000000,3.43,USD,1.07814,,"EUR",3.18,"EUR",,,,EOF12454398320,,,,,,
Market buy,2024-04-03 19:12:12.718,NL0015000F41,LILM,"Lilium",1.2000000000,0.91,USD,1.08570,,"EUR",1.01,"EUR",,,,EOF12501296181,,,,,,
Market sell,2024-04-03 20:36:16.238,US2546871060,DIS,"Walt Disney",0.5000000000,118.72,USD,1.08360,15.50,"EUR",54.70,"EUR",,,,EOF12502452926,,,,,0.08,"EUR"
Market sell,2024-04-03 20:36:40.131,US2546871060,DIS,"Walt Disney",0.5000000000,118.72,USD,1.08360,15.51,"EUR",54.70,"EUR",,,,EOF12502452945,,,,,0.08,"EUR"
Market buy,2024-04-03 20:40:55.998,US6516391066,NEM,"Newmont",2.0000000000,37.41,USD,1.08340,,"EUR",69.16,"EUR",,,,EOF12502453023,,,,,0.10,"EUR"
Interest on cash,2024-04-03 21:00:48.59,,,,,,,,,,0.01,"EUR",,,"Interest on cash",327bc452-4fc0-4fe6-9c18-a12c101e723d,,,,,,
Interest on cash,2024-04-03 21:00:48.677,,,,,,,,,,0.61,"USD",,,"Interest on cash",fbdbf14f-d461-41fd-8e39-d03290f8a26c,,,,,,
Market buy,2024-04-03 21:13:59.723,US5533681012,MP,"MP Materials",2.0000000000,15.05,USD,1.08312,,"EUR",27.83,"EUR",,,,EOF12502453837,,,,,0.04,"EUR"
Withdrawal,2024-04-04 10:44:24.395,,,,,,,,,,-10.92,"EUR",,,,6fedc9ec-0137-40b4-85d5-87e5e5b8be05,,,,,,
Deposit,2024-04-04 10:44:31.649,,,,,,,,,,14.00,"EUR",,,,9e51b751-5aab-45e0-a9cc-bcb529fc53cf,,,,,,
Market buy,2024-04-04 14:17:02.564,US83444M1018,SOLV,"Solventum",0.2000000000,65.10,USD,1.08681,,"EUR",12.00,"EUR",,,,EOF12550540334,,,,,0.02,"EUR"
Market buy,2024-04-04 14:17:46.802,US83444M1018,SOLV,"Solventum",0.0500000000,65.31,USD,1.08850,,"EUR",3.00,"EUR",,,,EOF12550540577,,,,,,
Interest on cash,2024-04-04 21:00:46.756,,,,,,,,,,0.01,"EUR",,,"Interest on cash",9fb90096-edc5-4397-ba03-bd9b80db5485,,,,,,
Interest on cash,2024-04-04 21:00:46.817,,,,,,,,,,0.61,"USD",,,"Interest on cash",a673301b-4c38-43dc-8ddf-4ce887a0c252,,,,,,
Interest on cash,2024-04-05 21:00:43.257,,,,,,,,,,0.60,"USD",,,"Interest on cash",d4991fcb-b736-443b-81f7-96fbf1c6c9b3,,,,,,
Interest on cash,2024-04-06 21:00:45.952,,,,,,,,,,0.01,"EUR",,,"Interest on cash",b653ac01-9574-421d-a60a-d1734f2c7440,,,,,,
Interest on cash,2024-04-06 21:00:46.003,,,,,,,,,,0.61,"USD",,,"Interest on cash",e3da977e-e799-4006-a064-1655fae59032,,,,,,
Interest on cash,2024-04-07 21:00:44.891,,,,,,,,,,0.01,"EUR",,,"Interest on cash",e11c33f9-8d69-4800-b07c-4638fc99a619,,,,,,
Interest on cash,2024-04-07 21:00:45.103,,,,,,,,,,0.61,"USD",,,"Interest on cash",b956b672-716d-40b8-99d8-621b8d5b3d75,,,,,,
Deposit,2024-04-08 07:00:34.393,,,,,,,,,,500.00,"EUR",,,"Bank Transfer",e15fcc08-9233-4379-b0ef-e7fe5a8f0e77,,,,,,
Market buy,2024-04-08 09:42:25.555,IE00B94QLN63,2PAL,"WisdomTree Palladium 2x Leveraged",3.0000000000,10.77,USD,1.08263,,"EUR",29.87,"EUR",,,,EOF12750456348,,,,,0.04,"EUR"
Market buy,2024-04-08 09:42:49.864,JE00B1VS2W53,PHPT,"WisdomTree Physical Platinum",0.5000000000,86.98,USD,1.08264,,"EUR",40.23,"EUR",,,,EOF12750456372,,,,,0.06,"EUR"
Market buy,2024-04-08 09:43:05.158,JE00BN7KB664,WEAT,"WisdomTree Wheat",1.5000000000,23.45,USD,1.08264,,"EUR",32.54,"EUR",,,,EOF12750456398,,,,,0.05,"EUR"
Market buy,2024-04-08 09:43:27.829,GB00B15KY211,NICK,"WisdomTree Nickel",2.0000000000,16.41,USD,1.08248,,"EUR",30.36,"EUR",,,,EOF12750456438,,,,,0.05,"EUR"
Market buy,2024-04-08 09:44:00.957,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",600.0000000000,0.08,USD,1.08262,,"EUR",42.18,"EUR",,,,EOF12750456458,,,,,0.06,"EUR"
Market buy,2024-04-08 09:44:30.027,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",400.0000000000,0.08,USD,1.08262,,"EUR",28.12,"EUR",,,,EOF12750456486,,,,,0.04,"EUR"
Market buy,2024-04-08 09:45:15.654,GB00B15KXX56,BULL,"WisdomTree Gold",7.0000000000,24.14,USD,1.08278,,"EUR",156.29,"EUR",,,,EOF12750456525,,,,,0.23,"EUR"
Market buy,2024-04-08 09:45:47.856,JE00BN7KB441,CORN,"WisdomTree Corn",1.5000000000,21.66,USD,1.08275,,"EUR",30.04,"EUR",,,,EOF12750456557,,,,,0.04,"EUR"
Market buy,2024-04-08 09:46:55.872,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",34.0000000000,1.81,USD,1.08298,,"EUR",57.04,"EUR",,,,EOF12750456601,,,,,0.09,"EUR"
Market buy,2024-04-08 09:49:15.775,IE00BSKRJZ44,IDTL,"iShares USD Treasury Bond 20+yr (Dist)",2.9000000000,3.39,USD,1.08262,,"EUR",9.08,"EUR",,,,EOF12750456747,,,,,0.01,"EUR"
Market buy,2024-04-08 09:56:15.192,NL0015000F41,LILM,"Lilium",50.0000000000,0.91,USD,1.08281,,"EUR",42.20,"EUR",,,,EOF12750457288,,,,,0.06,"EUR"
Market buy,2024-04-08 13:55:30.383,NL0015000F41,LILM,"Lilium",1.8000000000,0.93,USD,1.08198,,"EUR",1.54,"EUR",,,,EOF12751746117,,,,,,
Interest on cash,2024-04-08 21:00:45.438,,,,,,,,,,0.61,"USD",,,"Interest on cash",0353dc0d-ff74-4c06-a50e-52793a86ce4a,,,,,,
Interest on cash,2024-04-09 21:00:36.659,,,,,,,,,,0.01,"EUR",,,"Interest on cash",de3e3f6f-d6dc-4b99-9cde-788df254777e,,,,,,
Interest on cash,2024-04-09 21:00:36.71,,,,,,,,,,0.60,"USD",,,"Interest on cash",e1eb396a-cb24-47b2-bf1f-d03d864d189d,,,,,,
Interest on cash,2024-04-10 21:00:43.607,,,,,,,,,,0.61,"USD",,,"Interest on cash",3e57786a-10c8-43b6-af7c-34a9b22d6740,,,,,,
Dividend (Dividend),2024-04-11 09:28:30,CA67077M1086,NTR,"Nutrien",3.5000000000,0.46,USD,Not available,,,1.49,"EUR",0.28,USD,,,,,,,,
Interest on cash,2024-04-11 21:00:42.838,,,,,,,,,,0.01,"EUR",,,"Interest on cash",6a873f24-b1ff-4ee8-80ce-00c48bbe7ffa,,,,,,
Interest on cash,2024-04-11 21:00:42.899,,,,,,,,,,0.61,"USD",,,"Interest on cash",1f85fa7b-6b78-4f78-a552-6d3eef0a4cb6,,,,,,
Interest on cash,2024-04-12 21:00:43.437,,,,,,,,,,0.61,"USD",,,"Interest on cash",5a0cc7fd-0289-4c7e-896a-3c2b6a250973,,,,,,
Interest on cash,2024-04-13 21:00:45.915,,,,,,,,,,0.01,"EUR",,,"Interest on cash",948dd0eb-93da-4bea-a2c1-bc4a92a4e3d3,,,,,,
Interest on cash,2024-04-13 21:00:45.974,,,,,,,,,,0.61,"USD",,,"Interest on cash",1995d55f-ab61-4950-978e-4bf635745df9,,,,,,
Interest on cash,2024-04-14 21:00:45.065,,,,,,,,,,0.60,"USD",,,"Interest on cash",f877f5eb-e3c5-4a37-beab-70a9b5006b8b,,,,,,
Interest on cash,2024-04-15 21:00:44.525,,,,,,,,,,0.01,"EUR",,,"Interest on cash",55af38da-2698-4141-8ebb-db643fff3e76,,,,,,
Interest on cash,2024-04-15 21:00:44.613,,,,,,,,,,0.61,"USD",,,"Interest on cash",58611954-5959-4ea7-bfb9-e03a4a394c45,,,,,,
Interest on cash,2024-04-16 21:00:46.133,,,,,,,,,,0.01,"EUR",,,"Interest on cash",ea30b5aa-a175-4a13-82b4-9088ce7beb3c,,,,,,
Interest on cash,2024-04-16 21:00:46.19,,,,,,,,,,0.61,"USD",,,"Interest on cash",0cdfafd3-dfa0-4be3-8a1b-54fbb25d7fb5,,,,,,
Market buy,2024-04-17 07:00:03.232,DE0005140008,DBK,"Deutsche Bank",0.8854020000,14.43,EUR,1.00000,,"EUR",12.78,"EUR",,,,EOF13151699387,,,,,,
Deposit,2024-04-17 07:00:03.239,,,,,,,,,,12.78,"EUR",,,"Free Shares Promotion",9f35d21c-0c44-4112-8d3c-539968f6795d,,,,,,
Market buy,2024-04-17 14:29:19.555,NL0015000F41,LILM,"Lilium",2.0000000000,0.86,USD,1.06370,,"EUR",1.62,"EUR",,,,EOF13200719070,,,,,,
Interest on cash,2024-04-17 21:00:44.735,,,,,,,,,,0.61,"USD",,,"Interest on cash",5b0c2783-84fb-4c56-a577-eab838d64f39,,,,,,
Interest on cash,2024-04-18 21:00:45.12,,,,,,,,,,0.01,"EUR",,,"Interest on cash",df910a99-b815-4087-ad68-c3e0dcbd8f69,,,,,,
Interest on cash,2024-04-18 21:00:45.173,,,,,,,,,,0.61,"USD",,,"Interest on cash",7663fb15-eac7-4227-913f-c2c72599d35d,,,,,,
Interest on cash,2024-04-19 21:00:46.29,,,,,,,,,,0.61,"USD",,,"Interest on cash",5083251f-e9a8-4b45-8df3-ace158a50c66,,,,,,
Interest on cash,2024-04-20 21:00:47.991,,,,,,,,,,0.01,"EUR",,,"Interest on cash",8ccb041d-3484-4bfb-a2b1-04e001f18d86,,,,,,
Interest on cash,2024-04-20 21:00:48.046,,,,,,,,,,0.60,"USD",,,"Interest on cash",f0746f8f-cf49-43ac-93fc-b6862956de1a,,,,,,
Interest on cash,2024-04-21 21:00:44.379,,,,,,,,,,0.61,"USD",,,"Interest on cash",80e11938-919a-49c3-940b-1f5100b02921,,,,,,
Interest on cash,2024-04-22 21:00:43.96,,,,,,,,,,0.01,"EUR",,,"Interest on cash",ceb6fd0b-cad0-4c63-ba28-8820f272c839,,,,,,
Interest on cash,2024-04-22 21:00:44,,,,,,,,,,0.61,"USD",,,"Interest on cash",23547a48-1dbf-45cf-99ef-697b8b576e31,,,,,,
Interest on cash,2024-04-23 21:00:56.166,,,,,,,,,,0.61,"USD",,,"Interest on cash",39bdec79-6f52-4e85-831d-5acd86445d8a,,,,,,
Interest on cash,2024-04-24 21:00:51.174,,,,,,,,,,0.01,"EUR",,,"Interest on cash",af9097e1-f7ad-4d05-806f-35a604e4dae0,,,,,,
Interest on cash,2024-04-24 21:00:51.267,,,,,,,,,,0.61,"USD",,,"Interest on cash",a7ccf538-3891-4ac4-9fa5-9629a5291c2d,,,,,,
Interest on cash,2024-04-25 21:00:51.46,,,,,,,,,,0.01,"EUR",,,"Interest on cash",b8aba7a4-f5ad-49c8-b43f-f957bac38301,,,,,,
Interest on cash,2024-04-25 21:00:51.569,,,,,,,,,,0.61,"USD",,,"Interest on cash",9a03f69f-e9f0-4fef-a0b5-571dddb28de8,,,,,,
Market sell,2024-04-26 10:58:30.231,DE0005140008,DBK,"Deutsche Bank",0.8854020000,16.59,EUR,1.00000,1.91,"EUR",14.69,"EUR",,,,EOF13552491336,,,,,,
Market buy,2024-04-26 11:00:00.246,KYG651631007,JOBY,"Joby Aviation",2.9000000000,5.12,USD,1.07283,,"EUR",13.86,"EUR",,,,EOF13552491381,,,,,0.02,"EUR"
Market buy,2024-04-26 11:03:49.712,KYG651631007,JOBY,"Joby Aviation",0.2500000000,5.11,USD,1.07352,,"EUR",1.19,"EUR",,,,EOF13552491626,,,,,,
Interest on cash,2024-04-26 21:00:49.107,,,,,,,,,,0.61,"USD",,,"Interest on cash",c5c27a4a-fad0-4aa4-9d61-d536a839ab09,,,,,,
Interest on cash,2024-04-27 21:00:54.218,,,,,,,,,,0.01,"EUR",,,"Interest on cash",7c9f8194-b839-4dc5-af1f-c04a55d1e516,,,,,,
Interest on cash,2024-04-27 21:00:54.337,,,,,,,,,,0.61,"USD",,,"Interest on cash",84e0aeda-782b-4ec5-be52-0177510af557,,,,,,
Interest on cash,2024-04-28 21:00:50.742,,,,,,,,,,0.60,"USD",,,"Interest on cash",014240c8-8d67-4e7a-8698-239017d062a9,,,,,,
Interest on cash,2024-04-29 21:00:49.617,,,,,,,,,,0.01,"EUR",,,"Interest on cash",df9c9c3c-661c-48f7-a5e3-e27549182442,,,,,,
Interest on cash,2024-04-29 21:00:49.685,,,,,,,,,,0.61,"USD",,,"Interest on cash",60441c92-6ed6-4823-9eba-93227058b389,,,,,,
Interest on cash,2024-04-30 21:00:47.758,,,,,,,,,,0.61,"USD",,,"Interest on cash",22b2dc91-1565-41e2-9312-ebdcedfde8ba,,,,,,
Interest on cash,2024-05-01 21:00:38.218,,,,,,,,,,0.01,"EUR",,,"Interest on cash",e1f25b29-13ef-4eec-b83c-feac6ddcd438,,,,,,
Interest on cash,2024-05-01 21:00:38.28,,,,,,,,,,0.61,"USD",,,"Interest on cash",90d3e043-58f6-4558-8c71-0e57685d8179,,,,,,
Interest on cash,2024-05-02 21:00:37.244,,,,,,,,,,0.61,"USD",,,"Interest on cash",c59b0645-430e-4714-9aea-0be77f1b8286,,,,,,
Interest on cash,2024-05-03 21:00:37.11,,,,,,,,,,0.01,"EUR",,,"Interest on cash",552181f5-f3f9-4ba0-b88e-f4d1cddc552a,,,,,,
Interest on cash,2024-05-03 21:00:37.174,,,,,,,,,,0.61,"USD",,,"Interest on cash",6f516610-63d2-4ca1-a025-b426a6634507,,,,,,
Interest on cash,2024-05-04 21:00:39.913,,,,,,,,,,0.61,"USD",,,"Interest on cash",a67338e6-a7ec-4fbe-879f-89e9fa38ee33,,,,,,
Interest on cash,2024-05-05 21:00:37.769,,,,,,,,,,0.01,"EUR",,,"Interest on cash",9c6ede1d-edd5-433b-b21a-cea23d7abaa7,,,,,,
Interest on cash,2024-05-05 21:00:37.817,,,,,,,,,,0.61,"USD",,,"Interest on cash",84d14ee7-7c0f-479b-85b0-0642ec755f2e,,,,,,
Market sell,2024-05-06 14:48:31.824,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",15.6250380000,31.24,EUR,1.00000,0.49,"EUR",488.19,"EUR",,,,EOF14100736032,,,,,,
Market buy,2024-05-06 14:49:13.273,KYG651631007,JOBY,"Joby Aviation",50.0000000000,5.53,USD,1.07805,,"EUR",256.86,"EUR",,,,EOF14100736155,,,,,0.38,"EUR"
Market buy,2024-05-06 14:53:04.144,KYG651631007,JOBY,"Joby Aviation",0.8500000000,5.51,USD,1.07666,,"EUR",4.36,"EUR",,,,EOF14100737393,,,,,0.01,"EUR"
Interest on cash,2024-05-06 21:00:38.358,,,,,,,,,,0.03,"EUR",,,"Interest on cash",19dc64f5-5e08-4b41-80c0-6bbdf8d74c8c,,,,,,
Interest on cash,2024-05-06 21:00:38.403,,,,,,,,,,0.61,"USD",,,"Interest on cash",56d9dd21-3d36-414e-af8d-0978797c4ef3,,,,,,
Deposit,2024-05-07 06:45:08.679,,,,,,,,,,500.00,"EUR",,,"Bank Transfer",872aaea1-9828-4480-9cf0-0aaa062beefb,,,,,,
Market buy,2024-05-07 06:47:23.288,US7170811035,PFE,"Pfizer",4.0000000000,28.28,USD,1.07600,,"EUR",105.29,"EUR",,,,EOF14101985120,,,,,0.16,"EUR"
Market buy,2024-05-07 06:48:12.937,US8334451098,SNOW,"Snowflake",1.0000000000,163.96,USD,1.07606,,"EUR",152.60,"EUR",,,,EOF14101985181,,,,,0.23,"EUR"
Market buy,2024-05-07 06:51:22.573,US4592001014,IBM,"IBM",0.3000000000,169.03,USD,1.07616,,"EUR",47.19,"EUR",,,,EOF14101985210,,,,,0.07,"EUR"
Market buy,2024-05-07 07:00:32.183,IE00BKLF1R75,VOLT,"WisdomTree Battery Solutions (Acc)",1.0000000000,32.56,USD,1.07619,,"EUR",30.30,"EUR",,,,EOF14101986567,,,,,0.05,"EUR"
Market buy,2024-05-07 07:00:33.512,XS2399364665,SPYS,"Leverage Shares -5x Short S&P 500",22.0000000000,2.47,USD,1.07643,,"EUR",50.58,"EUR",,,,EOF14101987525,,,,,0.08,"EUR"
Market buy,2024-05-07 07:00:35.564,IE00BSKRJZ44,IDTL,"iShares USD Treasury Bond 20+yr (Dist)",1.1000000000,3.38,USD,1.07583,,"EUR",3.47,"EUR",,,,EOF14101989163,,,,,0.01,"EUR"
Market buy,2024-05-07 07:00:35.581,IE00BSKRJZ44,IDTL,"iShares USD Treasury Bond 20+yr (Dist)",68.0000000000,3.38,USD,1.07634,,"EUR",214.11,"EUR",,,,EOF14101989176,,,,,0.32,"EUR"
Market buy,2024-05-07 07:00:48.252,GB00B15KY328,SLVR,"WisdomTree Silver",1.0000000000,23.35,USD,1.07630,,"EUR",21.72,"EUR",,,,EOF14101994363,,,,,0.03,"EUR"
Market buy,2024-05-07 07:01:01.883,JE00BN7KB441,CORN,"WisdomTree Corn",2.0000000000,23.01,USD,1.07649,,"EUR",42.81,"EUR",,,,EOF14101995959,,,,,0.06,"EUR"
Market buy,2024-05-07 07:04:13.292,US01609W1027,AHLA,"Alibaba",0.5000000000,74.30,EUR,1.00000,,"EUR",37.15,"EUR",,,,EOF14101999460,,,,,,
Interest on cash,2024-05-07 21:00:39.581,,,,,,,,,,0.01,"EUR",,,"Interest on cash",b9a3bd5c-e0d5-4f79-9122-81a2431cd1e3,,,,,,
Interest on cash,2024-05-07 21:00:39.636,,,,,,,,,,0.61,"USD",,,"Interest on cash",e2012ee9-94ff-4cca-b792-b3cc5609fcc4,,,,,,
Dividend (Dividend),2024-05-08 08:47:09,US6549022043,NOK,"Nokia",37.0000000000,0.03,USD,Not available,,,0.97,"EUR",0.56,USD,,,,,,,,
Market sell,2024-05-08 13:53:49.862,GB00B15KXQ89,COPA,"WisdomTree Copper",2.0000000000,40.55,USD,1.07516,11.65,"EUR",75.32,"EUR",,,,EOF14200470786,,,,,0.11,"EUR"
Market sell,2024-05-08 13:57:53.836,GB00B15KY328,SLVR,"WisdomTree Silver",8.0000000000,23.26,USD,1.07506,24.57,"EUR",172.79,"EUR",,,,EOF14200471927,,,,,0.26,"EUR"
Market sell,2024-05-08 13:58:10.154,GB00B15KXX56,BULL,"WisdomTree Gold",71.0000000000,23.78,USD,1.07494,235.78,"EUR",1567.97,"EUR",,,,EOF14200471988,,,,,2.36,"EUR"
Market sell,2024-05-08 14:00:45.601,US60770K1079,MRNA,"Moderna",3.0000000000,120.23,USD,1.07524,80.92,"EUR",334.95,"EUR",,,,EOF14200472835,,,,,0.50,"EUR"
Market sell,2024-05-08 14:08:43.359,US6516391066,NEM,"Newmont",6.0000000000,41.35,USD,1.07491,3.09,"EUR",230.46,"EUR",,,,EOF14200474952,,,,,0.35,"EUR"
Market sell,2024-05-08 14:10:52.389,MHY8162K2046,SBLK,"Star Bulk Carriers",4.0000000000,26.22,USD,1.07503,15.30,"EUR",97.41,"EUR",,,,EOF14200475275,,,,,0.15,"EUR"
Interest on cash,2024-05-08 21:00:39.23,,,,,,,,,,0.29,"EUR",,,"Interest on cash",2c35821a-8ce0-46c7-b8eb-9d0370d97960,,,,,,
Interest on cash,2024-05-08 21:00:39.299,,,,,,,,,,0.61,"USD",,,"Interest on cash",6afea523-c8ff-4c19-b750-c4b4c1ead9d4,,,,,,
Market sell,2024-05-09 17:45:21.059,IL0065100930,ZIM,"ZIM Integrated Shipping Services",24.0000000000,16.08,USD,1.07804,4.98,"EUR",357.44,"EUR",,,,EOF14251169079,,,,,0.54,"EUR"
