Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Limit sell,2021-02-02 16:01:12,CA4433003064,HEOFF,"H2O Innovation",10.0000000000,2.42,USD,1.20278,-1.70,"EUR",20.12,"EUR",,,,,EOF960610086,,,
Market buy,2021-02-02 16:01:43,US36467W1099,GS2C,"GameStop",0.1450000000,79.28,EUR,1.00000,,"EUR",11.50,"EUR",,,,,EOF960610440,,,
Market buy,2021-02-02 16:02:49,US36467W1099,GS2C,"GameStop",0.1200000000,77.68,EUR,1.00000,,"EUR",9.32,"EUR",,,,,EOF960611388,,,
Deposit,2021-02-03 07:24:47,,,,,,,,,,700.00,"EUR",,,,"Bank Transfer",ed35b2ca-d806-429f-b746-1113b8dd72e3,,,
Limit buy,2021-02-03 12:13:50,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",27.0000000000,29.47,USD,1.20098,,"EUR",662.53,"EUR",,,,,EOF966019449,,,
Limit sell,2021-02-03 13:27:49,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",27.0000000000,29.16,USD,1.20179,-7.41,"EUR",655.12,"EUR",,,,,EOF967182162,,,
Market buy,2021-02-03 14:57:59,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",60.0000000000,7.83,USD,1.20245,,"EUR",390.60,"EUR",,,,,EOF967964089,,,
Market buy,2021-02-03 14:59:20,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",30.0000000000,7.88,USD,1.20244,,"EUR",196.65,"EUR",,,,,EOF967966187,,,
Market sell,2021-02-03 15:58:09,US36467W1099,GS2C,"GameStop",1.0000000000,83.05,EUR,1.00000,-119.67,"EUR",83.05,"EUR",,,,,EOF969979354,,,
Market sell,2021-02-03 15:58:32,US36467W1099,GS2C,"GameStop",1.0000000000,80.90,EUR,1.00000,-121.83,"EUR",80.90,"EUR",,,,,EOF969980267,,,
Market sell,2021-02-03 16:02:46,US36467W1099,GS2C,"GameStop",1.2200000000,81.08,EUR,1.00000,-148.40,"EUR",98.92,"EUR",,,,,EOF970787262,,,
Market buy,2021-02-03 18:05:09,US36467W1099,GME,"GameStop",3.3000000000,106.20,USD,1.20255,,"EUR",291.43,"EUR",,,,,EOF971428275,,,
Market sell,2021-02-04 16:46:54,US36467W1099,GME,"GameStop",3.0000000000,63.15,USD,1.19745,-260.85,"EUR",158.21,"EUR",,,,,EOF981234216,,,
Market sell,2021-02-04 18:24:53,US36467W1099,GME,"GameStop",3.5000000000,58.30,USD,1.19670,-318.39,"EUR",170.51,"EUR",,,,,EOF981734755,,,
Market sell,2021-02-04 18:25:15,US36467W1099,GME,"GameStop",2.0000000000,58.44,USD,1.19668,-181.70,"EUR",97.67,"EUR",,,,,EOF981735242,,,
Withdrawal,2021-02-04 18:34:00,,,,,,,,,,-503.80,"EUR",,,,"Sent to card *9466",848e11a0-f0e3-430e-9d98-a2a73ea807bd,,,
Limit sell,2021-02-05 15:33:55,US36467W1099,GME,"GameStop",1.0000000000,73.00,USD,1.20283,-79.00,"EUR",60.69,"EUR",,,0.00,,EOF990808133,,,"EUR"
Market sell,2021-02-05 15:38:57,US36467W1099,GME,"GameStop",1.0000000000,73.00,USD,1.20283,-78.99,"EUR",60.69,"EUR",,,,,EOF991083095,,,
Market sell,2021-02-05 15:39:03,US36467W1099,GME,"GameStop",0.0400000000,72.01,USD,1.20518,-3.20,"EUR",2.39,"EUR",,,,,EOF991083702,,,
Market buy,2021-02-05 15:40:48,US26853E1029,EH,"EHang",1.0000000000,76.29,USD,1.20217,,"EUR",63.46,"EUR",,,,,EOF991092909,,,
Market buy,2021-02-05 15:55:13,CA89788C1041,TCNNF,"Trulieve Cannabis",1.0000000000,46.15,USD,1.20213,,"EUR",38.39,"EUR",,,,,EOF991417093,,,
Market buy,2021-02-05 15:55:35,US83406F1021,SOFI,"SoFi Technologies",1.0000000000,23.62,USD,1.20203,,"EUR",19.65,"EUR",,,,,EOF991418611,,,
Market buy,2021-02-05 16:35:33,US34959E1091,FTNT,"Fortinet",0.0160000000,155.47,USD,1.20170,,"EUR",2.07,"EUR",,,,,EOF992259052,,,
Market sell,2021-02-09 11:31:02,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",30.0000000000,7.39,USD,1.21032,-12.65,"EUR",183.10,"EUR",,,,,EOF1010263432,,,
Market buy,2021-02-09 11:32:02,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",6.0000000000,28.96,USD,1.21002,,"EUR",143.60,"EUR",,,,,EOF1010263526,,,
Market buy,2021-02-09 11:44:09,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",0.4500000000,28.90,USD,1.21089,,"EUR",10.74,"EUR",,,,,EOF1010264658,,,
Market buy,2021-02-09 12:10:14,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",1.1500000000,29.01,USD,1.21006,,"EUR",27.57,"EUR",,,,,EOF1010266860,,,
Market sell,2021-02-10 14:20:12,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",7.6000000000,28.42,USD,1.21364,-3.94,"EUR",177.97,"EUR",,,,,EOF1021638511,,,
Market buy,2021-02-10 14:28:13,CA89788C1041,TCNNF,"Trulieve Cannabis",4.0000000000,53.31,USD,1.21361,,"EUR",175.69,"EUR",,,,,EOF1021640734,,,
Market buy,2021-02-10 14:56:56,CA4433003064,HEOFF,"H2O Innovation",1.0000000000,2.58,USD,1.21126,,"EUR",2.13,"EUR",,,,,EOF1023331193,,,
Market sell,2021-02-11 16:02:14,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",10.0000000000,7.13,USD,1.21327,-6.50,"EUR",58.75,"EUR",,,,,EOF1035680482,,,
Market buy,2021-02-11 16:02:53,CA98980M1095,ZOM,"Zomedica",25.0000000000,2.78,USD,1.21291,,"EUR",57.30,"EUR",,,,,EOF1035681527,,,
Market sell,2021-02-11 16:04:32,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",8.0000000000,7.12,USD,1.21319,-5.23,"EUR",46.97,"EUR",,,,,EOF1036634458,,,
Market buy,2021-02-11 16:04:44,CA48213Y1079,JUSHF,"Jushi",7.0000000000,7.79,USD,1.21285,,"EUR",44.96,"EUR",,,,,EOF1036634567,,,
Market buy,2021-02-11 16:05:08,CA98980M1095,ZOM,"Zomedica",2.0000000000,2.75,USD,1.21145,,"EUR",4.54,"EUR",,,,,EOF1036634912,,,
Market sell,2021-02-11 16:06:28,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",10.0000000000,7.12,USD,1.21291,-6.54,"EUR",58.71,"EUR",,,,,EOF1036636043,,,
Market buy,2021-02-11 16:06:40,CA48213Y1079,JUSHF,"Jushi",8.0000000000,7.79,USD,1.21268,,"EUR",51.39,"EUR",,,,,EOF1036636417,,,
Market buy,2021-02-11 16:06:47,CA48213Y1079,JUSHF,"Jushi",1.0000000000,7.79,USD,1.21339,,"EUR",6.42,"EUR",,,,,EOF1036636533,,,
Market sell,2021-02-11 18:59:01,CA98980M1095,ZOM,"Zomedica",15.0000000000,2.69,USD,1.21316,-1.10,"EUR",33.26,"EUR",,,,,EOF1039158905,,,
Market buy,2021-02-11 19:07:27,US69608A1088,PLTR,"Palantir",1.1000000000,33.60,USD,1.21259,,"EUR",30.48,"EUR",,,,,EOF1039164621,,,
Market buy,2021-02-11 19:07:48,CA4433003064,HEOFF,"H2O Innovation",1.0000000000,2.42,USD,1.21000,,"EUR",2.00,"EUR",,,,,EOF1039165134,,,
Market sell,2021-02-16 17:27:46,US26853E1029,EH,"EHang",1.0000000000,115.29,USD,1.21102,31.74,"EUR",95.20,"EUR",,,,,EOF1059325162,,,
Market buy,2021-02-16 17:28:06,US69608A1088,PLTR,"Palantir",3.9000000000,28.72,USD,1.21050,,"EUR",92.53,"EUR",,,,,EOF1059325296,,,
Stop sell,2021-02-16 17:49:38,US69608A1088,PLTR,"Palantir",5.0000000000,28.41,USD,1.21068,-5.68,"EUR",117.33,"EUR",,,0.00,,EOF1060244901,,,"EUR"
Market buy,2021-02-17 15:21:16,CA1366351098,CSIQ,"Canadian Solar",1.0000000000,55.82,USD,1.20327,,"EUR",46.39,"EUR",,,,,EOF1067898932,,,
Market buy,2021-02-17 15:22:24,CA1366351098,CSIQ,"Canadian Solar",1.0000000000,55.60,USD,1.20294,,"EUR",46.22,"EUR",,,,,EOF1067901072,,,
Market buy,2021-02-17 15:24:52,XS2722161424,3LAP,"GraniteShares 3x Long Apple",3.0000000000,11.22,USD,1.20300,,"EUR",27.97,"EUR",,,,,EOF1067904878,,,
Stop sell,2021-02-17 16:11:02,CA1366351098,CSIQ,"Canadian Solar",2.0000000000,54.30,USD,1.20292,-2.33,"EUR",90.28,"EUR",,,0.00,,EOF1068614440,,,"EUR"
Market buy,2021-02-18 14:38:54,CA2483561072,DNN,"Denison Mines",30.0000000000,1.44,USD,1.20771,,"EUR",35.77,"EUR",,,,,EOF1075717493,,,
Market buy,2021-02-18 14:52:20,CA2483561072,DNN,"Denison Mines",10.0000000000,1.31,USD,1.20626,,"EUR",10.86,"EUR",,,,,EOF1077047066,,,
Market buy,2021-02-18 14:55:58,CA2926717083,UUUU,"Energy Fuels",3.0000000000,5.61,USD,1.20645,,"EUR",13.95,"EUR",,,,,EOF1077053018,,,
Market buy,2021-02-18 15:07:02,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.1400000000,134.73,USD,1.20679,,"EUR",15.63,"EUR",,,,,EOF1077070516,,,
Market buy,2021-02-18 15:07:17,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.0100000000,134.59,USD,1.20169,,"EUR",1.12,"EUR",,,,,EOF1077070826,,,
Market buy,2021-02-18 15:25:02,CA13321L1085,CCJ,"Cameco",1.0000000000,17.50,USD,1.20606,,"EUR",14.51,"EUR",,,,,EOF1077801573,,,
Market sell,2021-02-19 11:50:45,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",16.0000000000,7.50,USD,1.21371,-5.53,"EUR",98.87,"EUR",,,,,EOF1083250752,,,
Market buy,2021-02-19 11:51:08,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",1.2000000000,95.21,USD,1.21312,,"EUR",94.18,"EUR",,,,,EOF1083250767,,,
Market sell,2021-02-19 17:18:48,CA2483561072,DNN,"Denison Mines",40.0000000000,1.22,USD,1.21362,-6.42,"EUR",40.21,"EUR",,,,,EOF1088211795,,,
Market buy,2021-02-19 17:29:41,CA1366351098,CSIQ,"Canadian Solar",0.5000000000,53.37,USD,1.21295,,"EUR",22.00,"EUR",,,,,EOF1088226686,,,
Market sell,2021-02-22 15:36:38,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",16.0000000000,6.55,USD,1.21493,-18.14,"EUR",86.26,"EUR",,,,,EOF1094807984,,,
Market sell,2021-02-22 15:36:43,XS2722161424,3LAP,"GraniteShares 3x Long Apple",3.0000000000,10.25,USD,1.21505,-2.67,"EUR",25.30,"EUR",,,,,EOF1094808023,,,
Market sell,2021-02-22 15:37:14,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",1.2000000000,75.57,USD,1.21488,-19.54,"EUR",74.64,"EUR",,,,,EOF1094808991,,,
Market buy,2021-02-22 15:38:55,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",15.0000000000,4.04,USD,1.21454,,"EUR",49.92,"EUR",,,,,EOF1094810399,,,
Market buy,2021-02-22 15:39:16,IE00B8JVMZ80,3HCL,"WisdomTree Copper 3x Leveraged",2.0000000000,30.70,USD,1.21463,,"EUR",50.55,"EUR",,,,,EOF1094810636,,,
Market buy,2021-02-22 15:39:46,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",10.0000000000,4.60,USD,1.21458,,"EUR",37.84,"EUR",,,,,EOF1094811385,,,
Market buy,2021-02-22 15:40:55,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",2.0000000000,38.22,USD,1.21429,,"EUR",62.95,"EUR",,,,,EOF1094812372,,,
Market sell,2021-02-22 16:14:40,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",2.0000000000,38.20,USD,1.21481,-0.06,"EUR",62.89,"EUR",,,,,EOF1095351404,,,
Market buy,2021-02-23 08:35:39,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",3.0000000000,4.53,USD,1.21529,,"EUR",11.18,"EUR",,,,,EOF1098316051,,,
Market buy,2021-02-23 15:36:37,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",2.0000000000,3.94,USD,1.21540,,"EUR",6.49,"EUR",,,,,EOF1102276813,,,
Market buy,2021-02-23 15:36:53,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",3.0000000000,4.35,USD,1.21623,,"EUR",10.72,"EUR",,,,,EOF1102277174,,,
Withdrawal,2021-02-24 08:29:16,,,,,,,,,,-42.34,"EUR",,,,,6c2f8159-044e-479f-ac66-4845e8bee6a5,,,
Deposit,2021-03-03 14:25:22,,,,,,,,,,100.00,"EUR",,,,"Transaction ID: 4726147815228221",0d5ca17b-4df4-47c5-b776-986a99d16558,,,
Market buy,2021-03-03 14:29:44,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",1.0000000000,97.70,USD,1.20513,,"EUR",81.07,"EUR",,,,,EOF1135500182,,,
Market buy,2021-03-03 14:29:56,GB00B15KY211,NICK,"WisdomTree Nickel",1.0000000000,16.58,USD,1.20494,,"EUR",13.76,"EUR",,,,,EOF1135500199,,,
Market buy,2021-03-03 14:32:31,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",1.0000000000,4.02,USD,1.20630,,"EUR",3.33,"EUR",,,,,EOF1135510983,,,
Market buy,2021-03-03 14:33:05,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",0.6200000000,3.36,USD,1.20236,,"EUR",1.73,"EUR",,,,,EOF1135511719,,,
Deposit,2021-03-03 14:35:34,,,,,,,,,,100.00,"EUR",,,,"Transaction ID: 1839147821341232",ba2da4a8-6059-4a8f-aa79-405fd26f4e04,,,
Market buy,2021-03-03 14:36:28,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",9.0000000000,3.32,USD,1.20531,,"EUR",24.82,"EUR",,,,,EOF1135517022,,,
Market buy,2021-03-03 14:37:40,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",2.0000000000,32.29,USD,1.20530,,"EUR",53.58,"EUR",,,,,EOF1135518390,,,
Market sell,2021-03-03 19:51:10,CA48213Y1079,JUSHF,"Jushi",16.0000000000,7.49,USD,1.20709,-3.49,"EUR",99.28,"EUR",,,,,EOF1138621783,,,
Market sell,2021-03-03 19:51:23,US83406F1021,SOFI,"SoFi Technologies",1.0000000000,17.45,USD,1.20677,-5.19,"EUR",14.46,"EUR",,,,,EOF1138621962,,,
Market buy,2021-03-04 12:31:36,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",20.0000000000,4.81,USD,1.20319,,"EUR",80.02,"EUR",,,,,EOF1139580863,,,
Market buy,2021-03-04 12:32:55,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",10.0000000000,4.81,USD,1.20330,,"EUR",39.99,"EUR",,,,,EOF1139580927,,,
Stop sell,2021-03-04 12:48:48,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",25.0000000000,4.80,USD,1.20340,-0.21,"EUR",99.80,"EUR",,,,,EOF1139581581,,,
Market buy,2021-03-04 12:54:36,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",25.0000000000,4.83,USD,1.20279,,"EUR",100.35,"EUR",,,,,EOF1139581837,,,
Market buy,2021-03-04 14:09:34,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",3.5000000000,4.90,USD,1.20337,,"EUR",14.24,"EUR",,,,,EOF1140489026,,,
Limit sell,2021-03-08 10:10:46,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",33.0000000000,5.26,USD,1.18767,13.64,"EUR",146.22,"EUR",,,,,EOF1152062996,,,
Market sell,2021-03-08 10:11:16,IE00B8JG1787,3SIS,"WisdomTree Silver 3x Short",0.5000000000,5.26,USD,1.18524,0.21,"EUR",2.22,"EUR",,,,,EOF1152063121,,,
Market buy,2021-03-09 11:55:00,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",5.0000000000,32.03,USD,1.19061,,"EUR",134.51,"EUR",,,,,EOF1158358546,,,
Market buy,2021-03-09 11:55:21,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",5.1000000000,3.17,USD,1.19050,,"EUR",13.58,"EUR",,,,,EOF1158358557,,,
Market sell,2021-03-09 12:26:24,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",5.0000000000,31.73,USD,1.19035,-1.07,"EUR",133.28,"EUR",,,,,EOF1158360089,,,
Market buy,2021-03-09 12:35:02,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",4.5000000000,31.84,USD,1.18924,,"EUR",120.48,"EUR",,,,,EOF1158360539,,,
Market buy,2021-03-09 12:35:10,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",0.4900000000,31.83,USD,1.18877,,"EUR",13.12,"EUR",,,,,EOF1158360544,,,
Market sell,2021-03-10 10:29:56,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",3.0000000000,32.22,USD,1.19010,0.82,"EUR",81.22,"EUR",,,,,EOF1163866816,,,
Market buy,2021-03-10 10:30:41,XS2656471039,3STS,"GraniteShares 3x Short Tesla",7000.0000000000,0.01,USD,1.18944,,"EUR",39.43,"EUR",,,,,EOF1163866862,,,
Market buy,2021-03-10 11:04:52,XS2656471039,3STS,"GraniteShares 3x Short Tesla",5000.0000000000,0.01,USD,1.18926,,"EUR",29.43,"EUR",,,,,EOF1163869423,,,
Market buy,2021-03-10 14:24:42,CA4339211035,HIVE,"Hive Digital Technologies Ltd",3.2000000000,4.40,USD,1.19120,,"EUR",11.82,"EUR",,,,,EOF1164741853,,,
Market sell,2021-03-12 15:35:42,XS2656471039,3STS,"GraniteShares 3x Short Tesla",12000.0000000000,0.01,USD,1.19239,0.58,"EUR",69.44,"EUR",,,,,EOF1185660647,,,
Market buy,2021-03-18 13:30:08,US69608A1088,PLTR,"Palantir",1.5000000000,24.73,USD,1.19123,,"EUR",31.14,"EUR",,,,,EOF1210751647,,,
Market sell,2021-03-18 16:00:30,IE00B8HGT870,3GOL,"WisdomTree Gold 3x Leveraged",3.9900000000,33.13,USD,1.19260,3.90,"EUR",110.84,"EUR",,,,,EOF1212961648,,,
Market buy,2021-03-25 14:26:07,US69608A1088,PLTR,"Palantir",4.0000000000,22.26,USD,1.18011,,"EUR",75.45,"EUR",,,,,EOF1232481535,,,
Market buy,2021-03-30 09:02:35,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",2.0000000000,36.49,USD,1.17463,,"EUR",62.13,"EUR",,,,,EOF1242513237,,,
Withdrawal,2021-03-30 09:03:20,,,,,,,,,,-12.78,"EUR",,,,,8507b3ae-1303-496e-924f-2cc3d11cef12,,,
Market sell,2021-03-30 09:19:06,GB00B15KY211,NICK,"WisdomTree Nickel",1.0000000000,15.19,USD,1.17478,-0.83,"EUR",12.93,"EUR",,,,,EOF1242514021,,,
Withdrawal,2021-03-30 09:19:31,,,,,,,,,,-12.93,"EUR",,,,,f4ce850c-40d1-411c-b528-fb42073590e1,,,
Market sell,2021-03-30 13:30:05,CA98980M1095,ZOM,"Zomedica",12.0000000000,1.51,USD,1.17281,-12.03,"EUR",15.45,"EUR",,,,,EOF1242779530,,,
Withdrawal,2021-03-30 14:52:33,,,,,,,,,,-15.45,"EUR",,,,,93af5af2-628a-42a7-a8d4-1b11844ccd2a,,,
Dividend (Return of capital non us),2021-04-22 08:09:07,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.1500000000,0.35,USD,Not available,,,0.04,"EUR",0.00,USD,,,,,,
Market sell,2021-05-04 19:08:28,CA13321L1085,CCJ,"Cameco",1.0000000000,18.11,USD,1.20092,0.57,"EUR",15.06,"EUR",,,,,EOF1321779376,0.02,"EUR",
Market buy,2021-05-14 07:00:32,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",0.6000000000,28.45,USD,1.21063,,"EUR",14.12,"EUR",,,,,EOF1339296997,0.02,"EUR",
Market sell,2021-06-22 07:00:38,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",2.6000000000,30.38,USD,1.19029,-9.87,"EUR",66.26,"EUR",,,,,EOF1405825071,0.10,"EUR",
Market buy,2021-06-23 07:12:34,XS2819844387,3OIS,"WisdomTree WTI Crude Oil 3x Short",5.8000000000,12.82,USD,1.19217,,"EUR",62.46,"EUR",,,,,EOF1408204082,0.09,"EUR",
Dividend (Return of capital non us),2021-07-20 12:38:22,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",0.1500000000,0.35,USD,Not available,,,0.04,"EUR",-0.00,USD,,,,,,
Market sell,2021-08-09 10:15:20,XS2819844387,3OIS,"WisdomTree WTI Crude Oil 3x Short",5.8000000000,15.23,USD,1.17606,12.74,"EUR",75.00,"EUR",,,,,EOF1487200391,0.11,"EUR",
Market sell,2021-08-09 10:33:28,IE00B8JVMZ80,3HCL,"WisdomTree Copper 3x Leveraged",2.0000000000,30.29,USD,1.17562,0.98,"EUR",51.45,"EUR",,,,,EOF1487201127,0.08,"EUR",
Market buy,2021-08-09 12:02:26,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",1.4200000000,86.38,EUR,1.00000,,"EUR",122.66,"EUR",,,,,EOF1487204379,,,
Deposit,2021-08-10 05:05:26,,,,,,,,,,10.00,"EUR",,,,,c46a98f4-19bd-4f58-846c-5c458ecb2b56,,,
Withdrawal,2021-08-10 05:05:34,,,,,,,,,,-18.61,"EUR",,,,,4ba29da6-d6d0-4ab1-8430-00362fd4e09a,,,
Limit sell,2021-08-11 14:24:34,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",1.0000000000,110.00,USD,1.17320,12.69,"EUR",93.62,"EUR",,,,,EOF1492759311,0.14,"EUR",
Deposit,2021-08-13 07:53:12,,,,,,,,,,200.00,"EUR",,,,"Transaction ID: 1349288411921844",c7852930-739c-4ec8-aa3d-244780df5d08,,,
Market buy,2021-08-13 13:27:18,CA89788C1041,TCNNF,"Trulieve Cannabis",1.6113760000,31.42,USD,1.17688,,"EUR",43.08,"EUR",,,,,EOF1496646075,0.06,"EUR",
Market buy,2021-08-13 13:30:01,CA89788C1041,TCNNF,"Trulieve Cannabis",8.3886240000,31.41,USD,1.17685,,"EUR",224.23,"EUR",,,,,EOF1496646277,0.34,"EUR",
Market buy,2021-08-13 14:19:20,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.2500000000,83.61,EUR,1.00000,,"EUR",20.90,"EUR",,,,,EOF1497218789,,,
Market buy,2021-08-13 14:19:40,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.0500000000,83.56,EUR,1.00000,,"EUR",4.18,"EUR",,,,,EOF1497218825,,,
Deposit,2021-08-18 06:33:44,,,,,,,,,,500.00,"EUR",,,,"Transaction ID: 6129292684231621",7ef89b04-5410-44b7-9e84-0dafd5a19c21,,,
Market buy,2021-08-18 10:34:57,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",10.0000000000,8.69,EUR,1.00000,,"EUR",86.88,"EUR",,,,,EOF1502461604,,,
Market buy,2021-08-18 10:37:20,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",1.0000000000,76.47,EUR,1.00000,,"EUR",76.47,"EUR",,,,,EOF1502461645,,,
Market buy,2021-08-18 10:40:02,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",20.0000000000,2.19,USD,1.17178,,"EUR",37.49,"EUR",,,,,EOF1502461718,0.06,"EUR",
Market buy,2021-08-18 10:40:22,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",2.0000000000,35.97,EUR,1.00000,,"EUR",71.94,"EUR",,,,,EOF1502461726,,,
Market buy,2021-08-18 10:40:30,JE00B2NFV134,LPLA,"WisdomTree Platinum 2x Leveraged",11.0000000000,2.64,USD,1.17149,,"EUR",24.81,"EUR",,,,,EOF1502461736,0.04,"EUR",
Market buy,2021-08-18 10:43:21,XS2820604853,NVDE,"Leverage Shares 2x NVIDIA",0.8000000000,99.24,EUR,1.00000,,"EUR",79.39,"EUR",,,,,EOF1502461818,,,
Market buy,2021-08-18 10:51:31,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",4.2800000000,2.19,USD,1.17086,,"EUR",8.03,"EUR",,,,,EOF1502462022,0.01,"EUR",
Market buy,2021-08-18 13:20:27,CA89788C1041,TCNNF,"Trulieve Cannabis",5.0000000000,27.43,USD,1.17132,,"EUR",117.27,"EUR",,,,,EOF1503246681,0.18,"EUR",
Market sell,2021-08-18 13:22:23,CA89788C1041,TCNNF,"Trulieve Cannabis",1.0000000000,27.40,USD,1.17144,-6.51,"EUR",23.35,"EUR",,,,,EOF1503246726,0.04,"EUR",
Market buy,2021-08-18 15:03:24,CA89788C1041,TCNNF,"Trulieve Cannabis",0.8500000000,28.02,USD,1.17094,,"EUR",20.37,"EUR",,,,,EOF1503269870,0.03,"EUR",
Market sell,2021-08-18 18:10:57,US34959E1091,FTNT,"Fortinet",0.0160000000,296.83,USD,1.17266,1.98,"EUR",4.04,"EUR",,,,,EOF1503283187,0.01,"EUR",
Market buy,2021-08-19 13:44:06,US6833734014,OTRK,"Ontrak",0.4500000000,13.95,USD,1.16899,,"EUR",5.38,"EUR",,,,,EOF1503316091,0.01,"EUR",
Deposit,2021-09-02 06:13:25,,,,,,,,,,500.00,"EUR",,,,"Bank Transfer",e4dd8354-1714-46cd-b88f-454b8971e82c,,,
Market buy,2021-09-02 07:04:48,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",2.5005690000,58.85,USD,1.18446,,"EUR",124.43,"EUR",,,,,EOF1525848092,0.19,"EUR",
Market buy,2021-09-02 07:04:52,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",0.5199550000,11.19,USD,1.18445,,"EUR",4.92,"EUR",,,,,EOF1525848097,0.01,"EUR",
Market buy,2021-09-02 07:05:05,IE00BKM4GZ66,IS3N,"iShares Core MSCI EM IMI (Acc)",9.3470310000,31.58,EUR,1.00000,,"EUR",295.17,"EUR",,,,,EOF1525848134,,,
Market buy,2021-09-02 07:06:35,IE00BKT6ZG93,2AME,"Leverage Shares 2x Advanced Micro Devices",1.3281910000,55.12,EUR,1.00000,,"EUR",73.21,"EUR",,,,,EOF1525848232,,,
Market buy,2021-09-02 13:30:11,US69608A1088,PLTR,"Palantir",0.1282660000,26.24,USD,1.18510,,"EUR",2.84,"EUR",,,,,EOF1527167348,,,
Deposit,2021-09-13 06:54:27,,,,,,,,,,200.00,"EUR",,,,"Bank Transfer",f638c248-9548-445c-92e9-b77b1e625f80,,,
Market buy,2021-09-13 07:05:01,JE00B2NFTL95,LBUL,"WisdomTree Gold 2x Leveraged",0.6056340000,57.09,USD,1.17804,,"EUR",29.39,"EUR",,,,,EOF1541423718,0.04,"EUR",
Market buy,2021-09-13 07:05:01,JE00B2NFTF36,LCOP,"WisdomTree Copper 2x Leveraged",5.0177080000,11.92,USD,1.17804,,"EUR",50.83,"EUR",,,,,EOF1541423721,0.08,"EUR",
Market buy,2021-09-13 07:05:14,IE00BK5BZY66,2TSE,"Leverage Shares 2x Tesla",0.0522072000,357.42,EUR,1.00000,,"EUR",18.66,"EUR",,,,,EOF1541423757,,,
