Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Finra fee,Notes,ID,Currency conversion fee,Currency (Currency conversion fee),Currency (Finra fee)
Market buy,2021-01-04 08:53:17,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",10.0000000000,7.40,USD,1.22817,,"EUR",60.26,"EUR",,,,,EOF733976103,,,
Market buy,2021-01-04 08:53:33,XS2722161424,3LAP,"GraniteShares 3x Long Apple",5.0000000000,12.74,USD,1.22816,,"EUR",51.87,"EUR",,,,,EOF733976141,,,
Market buy,2021-01-04 14:31:16,US69608A1088,PLTR,"Palantir",1.5000000000,24.00,USD,1.23076,,"EUR",29.25,"EUR",,,,,EOF735281288,,,
Market sell,2021-01-04 15:07:31,US8964385046,TRIB,"Trinity Biotech",20.0000000000,3.73,USD,1.22818,13.59,"EUR",60.74,"EUR",,,,,EOF740528441,,,
Market buy,2021-01-04 15:09:15,XS2656472193,3LTS,"GraniteShares 3x Long Tesla",0.8800000000,83.64,USD,1.22750,,"EUR",59.96,"EUR",,,,,EOF740531641,,,
Market buy,2021-01-04 15:13:41,US69608A1088,PLTR,"Palantir",0.1500000000,23.13,USD,1.22597,,"EUR",2.83,"EUR",,,,,EOF741539969,,,
Market sell,2021-01-15 13:46:50,XS2722161424,3LAP,"GraniteShares 3x Long Apple",8.0000000000,11.11,USD,1.21266,0.24,"EUR",73.30,"EUR",,,,,EOF835752556,,,
Market buy,2021-01-15 13:47:29,IE00B7XD2195,3SIL,"WisdomTree Silver 3x Leveraged",15.0000000000,3.11,USD,1.21233,,"EUR",38.43,"EUR",,,,,EOF835752719,,,
Market sell,2021-01-15 13:48:42,XS2712624779,3LAZ,"GraniteShares 3x Long AstraZeneca",20.0000000000,380.36,GBX,88.98444,-13.59,"EUR",85.49,"EUR",,,,,EOF835752833,,,
Market buy,2021-01-15 13:51:47,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",0.3500000000,18.26,EUR,1.00000,,"EUR",6.39,"EUR",,,,,EOF835753297,,,
Market buy,2021-01-15 13:55:26,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",2.0000000000,18.26,EUR,1.00000,,"EUR",36.52,"EUR",,,,,EOF835754221,,,
Market buy,2021-01-15 14:10:52,CA89788C1041,TCNNF,"Trulieve Cannabis",1.0000000000,47.51,USD,1.21106,,"EUR",39.23,"EUR",,,,,EOF835757024,,,
Market sell,2021-01-15 14:19:08,XS2675292309,3LAL,"GraniteShares 3x Long Alphabet",5.0000000000,8.21,USD,1.21091,-3.64,"EUR",33.90,"EUR",,,,,EOF835759153,,,
