Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Notes,ID,French transaction tax,Currency (French transaction tax)
Market buy,2020-08-17 14:37:13,CA0679011084,GOLD,"Barrick Gold",5.0000000000,30.01,USD,1.18766,,"EUR",126.34,"EUR",,,,,,EOF376507913,,
Market buy,2020-08-17 14:38:03,CA98462Y1007,AUY,"Yamana Gold",13.5000000000,6.21,USD,1.18763,,"EUR",70.59,"EUR",,,,,,EOF376513299,,
Dividend (Ordinary),2020-08-21 10:32:46,US3682872078,OGZD,"Gazprom",1.0000000000,0.33,USD,Not available,,,0.28,"EUR",0.08,USD,,,,,,
Market sell,2020-09-04 15:21:48,CA1366351098,CSIQ,"Canadian Solar",1.0000000000,29.34,USD,1.17926,4.15,"EUR",24.88,"EUR",,,,,,EOF413020887,,
Withdrawal,2020-09-08 14:36:23,,,,,,,,,,-29.55,"EUR",,,,,,6e97bd34-432a-4769-bc37-6520ae148b1a,,
Dividend (Ordinary),2020-09-17 09:15:42,CA0679011084,GOLD,"Barrick Gold",5.3200000000,0.07,USD,Not available,,,0.31,"EUR",0.06,USD,,,,,,
Deposit,2020-09-28 14:03:04,,,,,,,,,,31.03,"EUR",,,,,,33e1a560-d098-4471-b627-25c8ca4a02fa,,
Limit buy,2020-09-28 14:03:50,XS2656471039,3STS,"GraniteShares 3x Short Tesla",300.0000000000,0.11,USD,1.16697,,"EUR",27.25,"EUR",,,,,,EOF455379135,,
Market buy,2020-09-29 08:34:20,XS2722160707,3SMS,"GraniteShares 3x Short Microsoft",1.0000000000,3.51,USD,1.16900,,"EUR",3.00,"EUR",,,,,,EOF457133096,,
Dividend (Ordinary),2020-10-08 11:41:20,DE000PAH0038,PAH3,"Porsche Automobil Holding",0.1600000000,1.63,EUR,Not available,,,0.26,"EUR",0.09,EUR,,,,,,
Dividend (Ordinary),2020-10-15 08:46:17,CA98462Y1007,AUY,"Yamana Gold",13.5000000000,0.01,USD,Not available,,,0.17,"EUR",0.04,USD,,,,,,
Limit sell,2020-10-30 08:54:54,XS2722160707,3SMS,"GraniteShares 3x Short Microsoft",1.0000000000,3.80,USD,1.16564,0.26,"EUR",3.26,"EUR",,,,,,EOF515793268,,
Limit sell,2020-11-02 12:51:14,XS2656471039,3STS,"GraniteShares 3x Short Tesla",300.0000000000,0.12,USD,1.16417,2.90,"EUR",30.15,"EUR",,,,,,EOF518941985,,
Withdrawal,2020-11-03 15:08:59,,,,,,,,,,-3.93,"EUR",,,,,"Acquired by Teladoc Health, Inc.",1d90595b-4c8a-4756-8dad-2e902b3470e2,,
Market buy,2020-11-03 16:20:55,XS2675292218,3LZN,"GraniteShares 3x Long Amazon",18.0000000000,6.27,USD,1.17329,,"EUR",96.16,"EUR",,,,,,EOF522230845,,
