Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market sell,2022-12-28 09:17:51,XS2399367684,SMHS,"Leverage Shares -3x Short Semiconductors",10.0000000000,5.01,USD,1.06308,5.31,"EUR",47.01,"EUR",,,,,,,,EOF2188152307,0.07,"EUR"
Market buy,2022-12-28 09:18:27,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",22.0000000000,2.21,USD,1.06296,,"EUR",45.81,"EUR",,,,,,,,EOF2188152339,0.07,"EUR"
Market sell,2022-12-28 09:30:06,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",10.0000000000,6.50,USD,1.06313,11.67,"EUR",61.05,"EUR",,,,,,,,EOF2189002758,0.09,"EUR"
Limit sell,2022-12-28 13:42:48,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",3.0000000000,7.15,USD,1.06383,5.33,"EUR",20.14,"EUR",,,,,,,,EOF2189014055,0.03,"EUR"
Market buy,2022-12-28 13:45:48,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",6.0000000000,2.22,USD,1.06426,,"EUR",12.53,"EUR",,,,,,,,EOF2189014144,0.02,"EUR"
Market sell,2022-12-29 10:31:38,JE00B3XJ8K03,SGB3,"WisdomTree Short GBP Long USD 3x",1.0000000000,60.11,USD,1.06389,3.87,"EUR",56.42,"EUR",,,,,,,,EOF2189578351,0.08,"EUR"
Limit sell,2022-12-29 10:45:49,XS2297552932,SQS,"Leverage Shares -1x Short Square",3.0000000000,7.31,USD,1.06383,1.69,"EUR",20.57,"EUR",,,,,,,,EOF2189578924,0.03,"EUR"
Limit sell,2022-12-29 10:49:16,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",29.0000000000,6.82,USD,1.06390,42.42,"EUR",185.62,"EUR",,,,,,,,EOF2189579175,0.28,"EUR"
Market sell,2022-12-29 10:50:57,XS2399367684,SMHS,"Leverage Shares -3x Short Semiconductors",30.0000000000,5.17,USD,1.06364,20.51,"EUR",145.60,"EUR",,,,,,,,EOF2189579252,0.22,"EUR"
Market buy,2022-12-29 13:14:39,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",2.0000000000,25.36,USD,1.06487,,"EUR",47.70,"EUR",,,,,,,,EOF2189584361,0.07,"EUR"
Market buy,2022-12-30 10:00:53,JE00B3XJ8K03,SGB3,"WisdomTree Short GBP Long USD 3x",0.7000000000,60.28,USD,1.06555,,"EUR",39.66,"EUR",,,,,,,,EOF2190644039,0.06,"EUR"
Dividend (Ordinary),2022-12-30 14:49:15,US6516391066,NEM,"Newmont",0.0546543300,0.47,USD,Not available,,,0.02,"EUR",0.00,USD,,,,,,,,
Market buy,2023-01-03 09:02:23,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",20.0000000000,1.74,USD,1.05457,,"EUR",33.03,"EUR",,,,,,,,EOF2194033797,0.05,"EUR"
Market buy,2023-01-04 15:48:31,US88160R1014,TSLA,"Tesla",0.1000000000,111.99,USD,1.06051,,"EUR",10.58,"EUR",,,,,,,,EOF2202429009,0.02,"EUR"
Market buy,2023-01-04 15:52:20,US88160R1014,TSLA,"Tesla",0.1000000000,112.40,USD,1.06037,,"EUR",10.62,"EUR",,,,,,,,EOF2202429973,0.02,"EUR"
Limit buy,2023-01-05 13:41:23,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",20.0000000000,1.50,USD,1.05671,,"EUR",28.43,"EUR",,,,,,,,EOF2203437363,0.04,"EUR"
Market buy,2023-01-09 08:32:07,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",65.0000000000,1.42,USD,1.06923,,"EUR",86.21,"EUR",,,,,,,,EOF2207308708,0.13,"EUR"
Market buy,2023-01-09 08:32:52,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",2.0000000000,22.70,USD,1.06925,,"EUR",42.51,"EUR",,,,,,,,EOF2207308755,0.06,"EUR"
Market buy,2023-01-09 12:10:00,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",20.0000000000,1.56,EUR,1.00000,,"EUR",31.15,"EUR",,,,,,,,EOF2207318874,,
Deposit,2023-01-10 07:54:32,,,,,,,,,,500.00,"EUR",,,,,,,"Bank Transfer",72e97309-7d99-4f3a-8e1b-35a46fc849fa,,
Market buy,2023-01-10 08:19:03,LU0832435464,VOOL,"Amundi S&P 500 VIX Futures Enhanced Roll (Acc)",20.0000000000,2.57,EUR,1.00000,,"EUR",51.43,"EUR",,,,,,,,EOF2209170411,,
Market buy,2023-01-10 08:20:31,XS2297593456,SJPM,"Leverage Shares -1x Short JPMorgan",15.0000000000,4.61,USD,1.07395,,"EUR",64.46,"EUR",,,,,,,,EOF2209170482,0.10,"EUR"
Market buy,2023-01-10 08:21:15,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",20.0000000000,1.32,USD,1.07366,,"EUR",24.61,"EUR",,,,,,,,EOF2209170567,0.04,"EUR"
Market buy,2023-01-10 08:22:15,JE00BN7KB664,WEAT,"WisdomTree Wheat",20.0000000000,0.73,USD,1.07407,,"EUR",13.52,"EUR",,,,,,,,EOF2209170631,0.02,"EUR"
Market buy,2023-01-10 08:22:50,JE00B1VS2W53,PHPT,"WisdomTree Physical Platinum",0.3000000000,99.83,USD,1.07382,,"EUR",27.93,"EUR",,,,,,,,EOF2209170656,0.04,"EUR"
Market buy,2023-01-10 08:23:10,GB00B15KY211,NICK,"WisdomTree Nickel",0.5000000000,25.61,USD,1.07424,,"EUR",11.94,"EUR",,,,,,,,EOF2209170676,0.02,"EUR"
Market buy,2023-01-10 08:23:18,JE00BN7KB441,CORN,"WisdomTree Corn",10.0000000000,1.29,USD,1.07404,,"EUR",12.04,"EUR",,,,,,,,EOF2209170678,0.02,"EUR"
Market buy,2023-01-10 08:23:27,GB00B15KYH63,AIGA,"WisdomTree Agriculture",4.0000000000,6.51,USD,1.07428,,"EUR",24.27,"EUR",,,,,,,,EOF2209170695,0.04,"EUR"
Market sell,2023-01-10 15:10:40,US8317541063,SWBI,"Smith & Wesson Brands",2.6000000000,9.61,USD,1.07420,2.44,"EUR",23.23,"EUR",,,,,,,,EOF2210155885,0.03,"EUR"
Market buy,2023-01-10 15:11:27,US69608A1088,PLTR,"Palantir",4.0000000000,6.59,USD,1.07416,,"EUR",24.58,"EUR",,,,,,,,EOF2210156030,0.04,"EUR"
Market buy,2023-01-10 15:12:01,US83406F1021,SOFI,"SoFi Technologies",6.0000000000,4.88,USD,1.07488,,"EUR",27.28,"EUR",,,,,,,,EOF2210156119,0.04,"EUR"
Market buy,2023-01-10 15:12:44,US00165C3025,AMC,"AMC Entertainment",4.0000000000,4.07,USD,1.07529,,"EUR",15.16,"EUR",,,,,,,,EOF2210156218,0.02,"EUR"
Market buy,2023-01-10 15:13:35,US30303M1027,META,"Meta Platforms",0.2000000000,131.11,USD,1.07511,,"EUR",24.43,"EUR",,,,,,,,EOF2210156335,0.04,"EUR"
Market buy,2023-01-10 15:14:20,US61945C1036,MOS,"Mosaic",0.4000000000,46.38,USD,1.07485,,"EUR",17.29,"EUR",,,,,,,,EOF2210156410,0.03,"EUR"
Market buy,2023-01-10 15:14:36,US5533681012,MP,"MP Materials",0.5000000000,27.48,USD,1.07511,,"EUR",12.80,"EUR",,,,,,,,EOF2210156440,0.02,"EUR"
Market buy,2023-01-10 15:14:52,US4581401001,INTC,"Intel",0.5000000000,29.28,USD,1.07488,,"EUR",13.64,"EUR",,,,,,,,EOF2210156474,0.02,"EUR"
Market buy,2023-01-10 15:15:18,US02079K3059,GOOGL,"Alphabet (Class A)",0.4000000000,88.42,USD,1.07436,,"EUR",32.97,"EUR",,,,,,,,EOF2210156509,0.05,"EUR"
Market buy,2023-01-10 15:15:49,US0126531013,ALB,"Albemarle",0.2000000000,224.51,USD,1.07472,,"EUR",41.84,"EUR",,,,,,,,EOF2210156658,0.06,"EUR"
Market buy,2023-01-10 15:15:59,NL0000235190,AIR,"Airbus",0.1000000000,114.14,EUR,1.00000,,"EUR",11.41,"EUR",,,,,,,,EOF2210156678,,
Market buy,2023-01-10 15:16:29,CA67077M1086,NTR,"Nutrien",0.2000000000,75.94,USD,1.07487,,"EUR",14.15,"EUR",,,,,,,,EOF2210156712,0.02,"EUR"
Market buy,2023-01-10 15:16:45,MHY8162K2046,SBLK,"Star Bulk Carriers",0.6000000000,19.96,USD,1.07504,,"EUR",11.16,"EUR",,,,,,,,EOF2210156739,0.02,"EUR"
Market buy,2023-01-10 15:17:09,IE00BKLF1R75,VOLT,"WisdomTree Battery Solutions (Acc)",0.5000000000,38.27,USD,1.07485,,"EUR",17.83,"EUR",,,,,,,,EOF2210156775,0.03,"EUR"
Market buy,2023-01-10 15:18:49,CA89788C1041,TCNNF,"Trulieve Cannabis",3.0000000000,7.19,USD,1.07420,,"EUR",20.11,"EUR",,,,,,,,EOF2210156984,0.03,"EUR"
Market buy,2023-01-10 15:19:44,US18915M1071,NET,"Cloudflare",0.4000000000,40.42,USD,1.07428,,"EUR",15.07,"EUR",,,,,,,,EOF2210157068,0.02,"EUR"
Market buy,2023-01-10 15:20:05,US00202F1021,AMKBY,"AP Moller Maersk",2.0000000000,10.98,USD,1.07383,,"EUR",20.48,"EUR",,,,,,,,EOF2210157105,0.03,"EUR"
Market buy,2023-01-10 15:21:05,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",10.0000000000,1.26,USD,1.07391,,"EUR",11.79,"EUR",,,,,,,,EOF2210157230,0.02,"EUR"
Market buy,2023-01-10 15:22:59,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",26.0000000000,1.27,USD,1.07323,,"EUR",30.72,"EUR",,,,,,,,EOF2210157437,0.05,"EUR"
Market buy,2023-01-10 15:23:13,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",30.0000000000,1.27,USD,1.07342,,"EUR",35.46,"EUR",,,,,,,,EOF2210157475,0.05,"EUR"
Market buy,2023-01-10 15:23:54,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",3.5000000000,1.26,USD,1.07469,,"EUR",4.12,"EUR",,,,,,,,EOF2210157564,0.01,"EUR"
Limit buy,2023-01-11 14:02:09,XS2297593456,SJPM,"Leverage Shares -1x Short JPMorgan",10.0000000000,4.52,USD,1.07470,,"EUR",42.09,"EUR",,,,,,,,EOF2211264329,0.06,"EUR"
Market sell,2023-01-11 17:21:35,US00165C3025,AMC,"AMC Entertainment",16.5000000000,4.67,USD,1.07423,2.86,"EUR",71.62,"EUR",,,,,,,,EOF2212163143,0.11,"EUR"
Market sell,2023-01-13 16:24:42,US26853E1029,EH,"EHang",3.4264010000,15.82,USD,1.08173,0.41,"EUR",50.03,"EUR",,,,,,,,EOF2215200587,0.08,"EUR"
Dividend (Ordinary),2023-01-16 14:28:04,US8740391003,TSM,"Taiwan Semiconductor Manufacturing",1.5869874000,0.35,USD,Not available,,,0.52,"EUR",0.15,USD,,,,,,,,
Dividend (Ordinary),2023-01-16 14:52:51,CA67077M1086,NTR,"Nutrien",1.2418634000,0.41,USD,Not available,,,0.47,"EUR",0.09,USD,,,,,,,,
Market sell,2023-01-18 15:25:12,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",2.0000000000,21.26,USD,1.08497,-5.85,"EUR",39.13,"EUR",,,,,,,,EOF2221347710,0.06,"EUR"
Market sell,2023-01-18 15:25:49,JE00B3WFMB84,SJP3,"WisdomTree Short JPY Long USD 3x",1.0000000000,132.01,USD,1.08507,-44.50,"EUR",121.48,"EUR",,,,,,,,EOF2221347795,0.18,"EUR"
Market sell,2023-01-18 15:26:24,IE00B6X4BP29,3GOS,"WisdomTree Gold 3x Short",2.0000000000,21.28,USD,1.08516,-5.82,"EUR",39.16,"EUR",,,,,,,,EOF2221347884,0.06,"EUR"
Market sell,2023-01-23 15:38:00,US0126531013,ALB,"Albemarle",0.2000000000,256.89,USD,1.08644,5.49,"EUR",47.22,"EUR",,,,,,,,EOF2229024348,0.07,"EUR"
Market sell,2023-01-23 15:38:14,CA00386B1094,ABST,"Absolute Software",0.5899700000,11.54,USD,1.08584,0.23,"EUR",6.26,"EUR",,,,,,,,EOF2229024390,0.01,"EUR"
Market sell,2023-01-23 15:41:20,US01609W1027,AHLA,"Alibaba",0.6000000000,110.00,EUR,1.00000,16.38,"EUR",66.00,"EUR",,,,,,,,EOF2229025009,,
Market sell,2023-01-23 15:41:47,US0231351067,AMZN,"Amazon",0.6000000000,97.24,USD,1.08648,4.12,"EUR",53.62,"EUR",,,,,,,,EOF2229025080,0.08,"EUR"
Market sell,2023-01-23 15:42:07,CA1130041058,BAM,"Brookfield Asset Management",1.0000000000,32.15,USD,1.08651,3.94,"EUR",29.55,"EUR",,,,,,,,EOF2229025148,0.04,"EUR"
Market sell,2023-01-23 17:16:03,US02079K3059,GOOGL,"Alphabet (Class A)",1.0000000000,99.81,USD,1.08607,7.24,"EUR",91.76,"EUR",,,,,,,,EOF2229039559,0.14,"EUR"
Market buy,2023-01-25 12:52:07,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",30.0000000000,1.49,EUR,1.00000,,"EUR",44.57,"EUR",,,,,,,,EOF2232421112,,
Market buy,2023-01-25 12:52:34,LU0832435464,VOOL,"Amundi S&P 500 VIX Futures Enhanced Roll (Acc)",25.0000000000,2.31,EUR,1.00000,,"EUR",57.66,"EUR",,,,,,,,EOF2232421136,,
Market buy,2023-01-25 12:53:00,JE00BN7KB664,WEAT,"WisdomTree Wheat",20.0000000000,0.73,USD,1.08660,,"EUR",13.53,"EUR",,,,,,,,EOF2232421163,0.02,"EUR"
Market buy,2023-01-25 12:53:29,GB00B15KY211,NICK,"WisdomTree Nickel",0.8000000000,26.93,USD,1.08698,,"EUR",19.85,"EUR",,,,,,,,EOF2232421197,0.03,"EUR"
Market buy,2023-01-25 12:54:20,JE00B24DKC09,SBUL,"WisdomTree Gold 1x Short",4.4000000000,15.58,USD,1.08657,,"EUR",63.18,"EUR",,,,,,,,EOF2232421243,0.09,"EUR"
Market buy,2023-01-25 12:55:03,GB00B15KYH63,AIGA,"WisdomTree Agriculture",3.7000000000,6.60,USD,1.08644,,"EUR",22.49,"EUR",,,,,,,,EOF2232421273,0.03,"EUR"
Market buy,2023-01-25 12:55:11,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",30.0000000000,1.03,USD,1.08651,,"EUR",28.59,"EUR",,,,,,,,EOF2232421280,0.04,"EUR"
Market buy,2023-01-25 12:55:28,JE00BN7KB441,CORN,"WisdomTree Corn",12.0000000000,1.35,USD,1.08644,,"EUR",14.92,"EUR",,,,,,,,EOF2232421290,0.02,"EUR"
Market sell,2023-01-25 12:56:52,GB00B15KXQ89,COPA,"WisdomTree Copper",1.0000000000,37.44,USD,1.08679,2.87,"EUR",34.40,"EUR",,,,,,,,EOF2232421322,0.05,"EUR"
Market buy,2023-01-25 12:59:11,XS2297593456,SJPM,"Leverage Shares -1x Short JPMorgan",12.0000000000,4.56,USD,1.08750,,"EUR",50.43,"EUR",,,,,,,,EOF2232421450,0.08,"EUR"
Market buy,2023-01-25 13:12:28,XS2675292135,3SNF,"GraniteShares 3x Short Netflix",600.0000000000,0.14,USD,1.08756,,"EUR",78.46,"EUR",,,,,,,,EOF2232422184,0.12,"EUR"
Market sell,2023-01-25 14:30:05,US30303M1027,META,"Meta Platforms",0.2000000000,141.24,USD,1.08855,2.99,"EUR",25.91,"EUR",,,,,,,,EOF2232429555,0.04,"EUR"
Market sell,2023-01-25 14:30:08,US30303M1027,META,"Meta Platforms",0.8000000000,141.24,USD,1.08845,11.99,"EUR",103.65,"EUR",,,,,,,,EOF2232431278,0.16,"EUR"
Market sell,2023-01-25 15:24:51,US88160R1014,TSLA,"Tesla",0.5000000000,138.89,USD,1.09053,-0.95,"EUR",63.58,"EUR",,,,,,,,EOF2233306781,0.10,"EUR"
Market sell,2023-01-25 15:25:03,US88160R1014,TSLA,"Tesla",0.0300000000,138.96,USD,1.09130,-0.06,"EUR",3.81,"EUR",,,,,,,,EOF2233306816,0.01,"EUR"
Market sell,2023-01-25 19:26:52,BMG162521014,BIP,"Brookfield Infrastructure Partners",0.8500000000,35.83,USD,1.09120,2.37,"EUR",27.87,"EUR",,,,,,,,EOF2233333744,0.04,"EUR"
Market buy,2023-01-26 11:18:45,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",50.0000000000,0.92,USD,1.09021,,"EUR",42.07,"EUR",,,,,,,,EOF2234214782,0.06,"EUR"
Market sell,2023-01-26 15:18:36,US88160R1014,TSLA,"Tesla",0.5000000000,158.68,USD,1.08923,8.22,"EUR",72.73,"EUR",,,,,,,,EOF2235152747,0.11,"EUR"
Market sell,2023-01-27 15:25:28,US0231351067,AMZN,"Amazon",0.5000000000,101.65,USD,1.08670,5.46,"EUR",46.70,"EUR",,,,,,,,EOF2237009489,0.07,"EUR"
Market sell,2023-01-27 15:25:59,NL0000235190,AIR,"Airbus",0.6000000000,116.56,EUR,1.00000,1.47,"EUR",69.94,"EUR",,,,,,,,EOF2237009571,,
Market sell,2023-01-27 15:26:18,CA13321L1085,CCJ,"Cameco",0.4581105700,27.88,USD,1.08698,0.89,"EUR",11.73,"EUR",,,,,,,,EOF2237009640,0.02,"EUR"
Market sell,2023-01-27 15:26:47,CA2926717083,UUUU,"Energy Fuels",10.0000000000,7.50,USD,1.08664,5.92,"EUR",68.92,"EUR",,,,,,,,EOF2237009797,0.10,"EUR"
Market sell,2023-01-27 15:27:49,US30303M1027,META,"Meta Platforms",0.4000000000,150.06,USD,1.08660,9.33,"EUR",55.16,"EUR",,,,,,,,EOF2237009981,0.08,"EUR"
Market sell,2023-01-27 15:28:20,GB00B15KXQ89,COPA,"WisdomTree Copper",0.5000000000,37.41,USD,1.08686,1.42,"EUR",17.18,"EUR",,,,,,,,EOF2237010114,0.03,"EUR"
Market sell,2023-01-27 15:37:02,US01609W1027,AHLA,"Alibaba",0.7500000000,108.30,EUR,1.00000,19.20,"EUR",81.23,"EUR",,,,,,,,EOF2237011833,,
Market sell,2023-01-27 19:12:11,US0231351067,AMZN,"Amazon",0.3000000000,102.35,USD,1.08651,3.47,"EUR",28.22,"EUR",,,,,,,,EOF2237045561,0.04,"EUR"
Market sell,2023-01-27 19:12:43,US02079K3059,GOOGL,"Alphabet (Class A)",0.9000000000,100.09,USD,1.08662,6.70,"EUR",82.78,"EUR",,,,,,,,EOF2237045617,0.12,"EUR"
Market sell,2023-01-27 19:15:11,CA13321L1085,CCJ,"Cameco",2.0000000000,27.84,USD,1.08686,3.80,"EUR",51.15,"EUR",,,,,,,,EOF2237045823,0.08,"EUR"
Market sell,2023-01-27 19:15:55,CA2926717083,UUUU,"Energy Fuels",12.0386335000,7.55,USD,1.08696,7.65,"EUR",83.49,"EUR",,,,,,,,EOF2237045903,0.13,"EUR"
Market buy,2023-01-30 08:52:05,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",200.0000000000,0.85,USD,1.08826,,"EUR",155.89,"EUR",,,,,,,,EOF2239582085,0.23,"EUR"
Market sell,2023-01-30 09:54:24,US01609W1027,AHLA,"Alibaba",0.1500000000,102.20,EUR,1.00000,2.93,"EUR",15.33,"EUR",,,,,,,,EOF2239587061,,
Market sell,2023-01-30 09:54:55,US01609W1027,AHLA,"Alibaba",0.0500000000,102.20,EUR,1.00000,0.97,"EUR",5.11,"EUR",,,,,,,,EOF2239587096,,
Market buy,2023-01-30 10:38:18,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",50.0000000000,1.48,EUR,1.00000,,"EUR",74.10,"EUR",,,,,,,,EOF2239589618,,
Market buy,2023-01-30 10:39:58,XS2399364665,SPYS,"Leverage Shares -5x Short S&P 500",15.0000000000,5.15,USD,1.09072,,"EUR",70.90,"EUR",,,,,,,,EOF2239589702,0.11,"EUR"
Market buy,2023-01-30 14:19:53,XS2399367684,SMHS,"Leverage Shares -3x Short Semiconductors",40.0000000000,3.03,USD,1.08852,,"EUR",111.33,"EUR",,,,,,,,EOF2240353608,0.17,"EUR"
Market buy,2023-01-30 14:25:42,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",20.0000000000,2.17,USD,1.08835,,"EUR",39.90,"EUR",,,,,,,,EOF2240353901,0.06,"EUR"
Market buy,2023-01-30 14:30:00,CA4433003064,HEOFF,"H2O Innovation",20.0000000000,1.87,USD,1.08847,,"EUR",34.41,"EUR",,,,,,,,EOF2240354172,0.05,"EUR"
Market buy,2023-01-30 14:38:32,US8740602052,TAK,"Takeda Pharmaceutical",6.0000000000,15.97,USD,1.08973,,"EUR",88.06,"EUR",,,,,,,,EOF2240391114,0.13,"EUR"
Market buy,2023-01-30 14:49:29,IL0065100930,ZIM,"ZIM Integrated Shipping Services",8.0000000000,19.02,USD,1.08942,,"EUR",139.88,"EUR",,,,,,,,EOF2240395537,0.21,"EUR"
Market buy,2023-01-31 17:06:00,CA89788C1041,TCNNF,"Trulieve Cannabis",10.0000000000,6.47,USD,1.08557,,"EUR",59.69,"EUR",,,,,,,,EOF2243172892,0.09,"EUR"
Market buy,2023-01-31 17:07:40,CA89788C1041,TCNNF,"Trulieve Cannabis",1.3252300000,6.47,USD,1.08534,,"EUR",7.91,"EUR",,,,,,,,EOF2243173037,0.01,"EUR"
Limit buy,2023-02-02 08:02:11,XS2399364665,SPYS,"Leverage Shares -5x Short S&P 500",50.0000000000,4.78,USD,1.09970,,"EUR",217.57,"EUR",,,,,,,,EOF2247306765,0.33,"EUR"
Limit buy,2023-02-02 08:27:18,XS2399367684,SMHS,"Leverage Shares -3x Short Semiconductors",30.0000000000,2.50,USD,1.10035,,"EUR",68.26,"EUR",,,,,,,,EOF2247313645,0.10,"EUR"
Limit buy,2023-02-02 13:42:26,XS2297551298,SHOS,"Leverage Shares -1x Short Shopify",20.0000000000,3.50,USD,1.09792,,"EUR",63.82,"EUR",,,,,,,,EOF2247339489,0.10,"EUR"
Market sell,2023-02-02 14:31:44,US0231351067,AMZN,"Amazon",0.1500000000,111.24,USD,1.09488,2.85,"EUR",15.22,"EUR",,,,,,,,EOF2248256340,0.02,"EUR"
Market sell,2023-02-02 15:15:57,US02079K3059,GOOGL,"Alphabet (Class A)",0.4000000000,106.32,USD,1.08934,5.18,"EUR",38.98,"EUR",,,,,,,,EOF2248291110,0.06,"EUR"
Market sell,2023-02-02 15:16:15,US02079K3059,GOOGL,"Alphabet (Class A)",0.1000000000,106.34,USD,1.08954,1.29,"EUR",9.75,"EUR",,,,,,,,EOF2248291207,0.01,"EUR"
Market sell,2023-02-02 15:16:55,CA13321L1085,CCJ,"Cameco",1.5000000000,28.60,USD,1.08993,3.79,"EUR",39.30,"EUR",,,,,,,,EOF2248291415,0.06,"EUR"
Market sell,2023-02-02 19:42:23,US0231351067,AMZN,"Amazon",0.0300000000,112.05,USD,1.09139,0.60,"EUR",3.08,"EUR",,,,,,,,EOF2250357984,,
Market sell,2023-02-02 19:45:53,US18915M1071,NET,"Cloudflare",0.4850000000,62.17,USD,1.09129,3.92,"EUR",27.59,"EUR",,,,,,,,EOF2250358393,0.04,"EUR"
Market sell,2023-02-02 20:01:09,IL0065100930,ZIM,"ZIM Integrated Shipping Services",8.2212996200,21.57,USD,1.09081,-18.35,"EUR",162.33,"EUR",,,,,,,,EOF2250361308,0.24,"EUR"
Market sell,2023-02-03 14:43:17,CA13321L1085,CCJ,"Cameco",0.5000000000,28.27,USD,1.08563,1.17,"EUR",13.00,"EUR",,,,,,,,EOF2251290514,0.02,"EUR"
Market buy,2023-02-03 14:44:25,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",20.0000000000,1.66,USD,1.08591,,"EUR",30.66,"EUR",,,,,,,,EOF2251290872,0.05,"EUR"
Market buy,2023-02-03 14:46:03,IL0065100930,ZIM,"ZIM Integrated Shipping Services",1.0000000000,21.94,USD,1.08560,,"EUR",20.24,"EUR",,,,,,,,EOF2251291441,0.03,"EUR"
Market buy,2023-02-03 15:43:24,IL0065100930,ZIM,"ZIM Integrated Shipping Services",4.0000000000,22.99,USD,1.08712,,"EUR",84.72,"EUR",,,,,,,,EOF2252160570,0.13,"EUR"
Market sell,2023-02-07 15:23:14,JE00B24DKC09,SBUL,"WisdomTree Gold 1x Short",2.0000000000,15.99,USD,1.06777,1.27,"EUR",29.91,"EUR",,,,,,,,EOF2257127462,0.04,"EUR"
Market sell,2023-02-07 15:24:10,JE00B3XJ8K03,SGB3,"WisdomTree Short GBP Long USD 3x",0.7000000000,60.80,USD,1.06746,0.27,"EUR",39.81,"EUR",,,,,,,,EOF2257127654,0.06,"EUR"
Market sell,2023-02-07 18:09:08,US5949181045,MSFT,"Microsoft",0.2200000000,266.38,USD,1.07450,3.66,"EUR",54.46,"EUR",,,,,,,,EOF2257150695,0.08,"EUR"
Deposit,2023-02-08 07:45:57,,,,,,,,,,500.00,"EUR",,,,,,,"Bank Transfer",4123ff1f-8506-4a4e-9d7a-3441aeecbaaa,,
Market buy,2023-02-09 09:49:00,IE00B94QLN63,2PAL,"WisdomTree Palladium 2x Leveraged",0.7000000000,35.89,USD,1.07547,,"EUR",23.40,"EUR",,,,,,,,EOF2260392842,0.04,"EUR"
Market sell,2023-02-09 09:49:46,JE00B24DKC09,SBUL,"WisdomTree Gold 1x Short",2.4000000000,15.89,USD,1.07546,1.05,"EUR",35.41,"EUR",,,,,,,,EOF2260392891,0.05,"EUR"
Market buy,2023-02-09 09:50:03,GB00B15KY211,NICK,"WisdomTree Nickel",0.5000000000,25.51,USD,1.07546,,"EUR",11.88,"EUR",,,,,,,,EOF2260392906,0.02,"EUR"
Market buy,2023-02-09 11:04:26,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",140.0000000000,1.37,EUR,1.00000,,"EUR",191.66,"EUR",,,,,,,,EOF2260398505,,
Market buy,2023-02-09 11:05:05,LU0832435464,VOOL,"Amundi S&P 500 VIX Futures Enhanced Roll (Acc)",20.0000000000,2.27,EUR,1.00000,,"EUR",45.33,"EUR",,,,,,,,EOF2260398528,,
Market buy,2023-02-09 11:06:14,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",15.8104100000,1.37,EUR,1.00000,,"EUR",21.65,"EUR",,,,,,,,EOF2260398629,,
Market buy,2023-02-09 11:10:01,XS2399364665,SPYS,"Leverage Shares -5x Short S&P 500",5.6780900000,4.68,USD,1.07649,,"EUR",24.72,"EUR",,,,,,,,EOF2260398845,0.04,"EUR"
Market buy,2023-02-09 11:14:34,JE00B1VS2W53,PHPT,"WisdomTree Physical Platinum",0.2000000000,90.32,USD,1.07651,,"EUR",16.81,"EUR",,,,,,,,EOF2260399063,0.03,"EUR"
Market buy,2023-02-09 11:14:41,JE00BN7KB441,CORN,"WisdomTree Corn",17.0000000000,1.35,USD,1.07624,,"EUR",21.37,"EUR",,,,,,,,EOF2260399070,0.03,"EUR"
Market buy,2023-02-09 11:15:59,GB00B15KXN58,ALUM,"WisdomTree Aluminium",5.0000000000,3.37,USD,1.07672,,"EUR",15.66,"EUR",,,,,,,,EOF2260399125,0.02,"EUR"
Market buy,2023-02-09 11:16:16,GB00B15KYH63,AIGA,"WisdomTree Agriculture",5.3000000000,6.85,USD,1.07683,,"EUR",33.74,"EUR",,,,,,,,EOF2260399153,0.05,"EUR"
