Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Charge amount,Currency (Charge amount),Deposit fee,Currency (Deposit fee),Notes,ID,Currency conversion fee,Currency (Currency conversion fee)
Market buy,2022-11-24 14:48:22,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",2.7000000000,12.64,USD,1.04230,,"EUR",32.78,"EUR",,,,,,,,EOF2149188417,0.05,"EUR"
Market sell,2022-11-28 11:49:06,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",0.7000000000,11.45,USD,1.04725,-0.84,"EUR",7.64,"EUR",,,,,,,,EOF2152534103,0.01,"EUR"
Market sell,2022-11-28 11:49:27,JE00BDD9Q840,LOIL,"WisdomTree WTI Crude Oil 2x Leveraged",2.0000000000,11.46,USD,1.04753,-2.36,"EUR",21.85,"EUR",,,,,,,,EOF2152534124,0.03,"EUR"
Market buy,2022-11-28 11:50:51,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",5.0000000000,5.08,USD,1.04777,,"EUR",24.27,"EUR",,,,,,,,EOF2152534244,0.04,"EUR"
Market buy,2022-11-28 11:53:46,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",10.0000000000,5.07,USD,1.04760,,"EUR",48.49,"EUR",,,,,,,,EOF2152534425,0.07,"EUR"
Market buy,2022-11-28 11:59:34,XS2297593456,SJPM,"Leverage Shares -1x Short JPMorgan",1.5000000000,4.67,USD,1.04798,,"EUR",6.70,"EUR",,,,,,,,EOF2152534644,0.01,"EUR"
Dividend (Ordinary),2022-11-28 14:44:03,CA00386B1094,ABST,"Absolute Software",0.5899700000,0.05,USD,Not available,,,0.03,"EUR",0.01,USD,,,,,,,,
Market sell,2022-12-01 10:31:11,IE00BK5BZV36,MSF3,"Leverage Shares 3x Microsoft",5.0000000000,24.39,USD,1.04400,7.10,"EUR",116.63,"EUR",,,,,,,,EOF2157668083,0.18,"EUR"
Market sell,2022-12-01 10:33:50,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",50.0000000000,2.45,EUR,1.00000,-72.39,"EUR",122.70,"EUR",,,,,,,,EOF2157668223,,
Market buy,2022-12-01 11:00:17,XS2399364665,SPYS,"Leverage Shares -5x Short S&P 500",20.0000000000,5.13,USD,1.04230,,"EUR",98.49,"EUR",,,,,,,,EOF2157669554,0.15,"EUR"
Market buy,2022-12-01 11:01:29,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",20.0000000000,1.61,EUR,1.00000,,"EUR",32.29,"EUR",,,,,,,,EOF2157669579,,
Market buy,2022-12-01 11:02:05,LU0832435464,VOOL,"Amundi S&P 500 VIX Futures Enhanced Roll (Acc)",16.0000000000,2.89,EUR,1.00000,,"EUR",46.23,"EUR",,,,,,,,EOF2157669739,,
Market sell,2022-12-01 14:46:50,US6516391066,NEM,"Newmont",3.0000000000,49.28,USD,1.05141,8.43,"EUR",140.40,"EUR",,,,,,,,EOF2158705195,0.21,"EUR"
Market sell,2022-12-01 14:50:10,IE00BD09ZW40,NFL2,"Leverage Shares 2x Netflix",0.7661095000,13.51,USD,1.05252,-2.92,"EUR",9.82,"EUR",,,,,,,,EOF2158706007,0.01,"EUR"
Dividend (Ordinary),2022-12-01 15:04:08,US1252691001,CF,"CF Industries",0.8783901000,0.34,USD,Not available,,,0.29,"EUR",0.05,USD,,,,,,,,
Dividend (Ordinary),2022-12-02 16:33:45,US4581401001,INTC,"Intel",1.7014810000,0.31,USD,Not available,,,0.50,"EUR",0.09,USD,,,,,,,,
Market buy,2022-12-05 10:44:57,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",12.0000000000,3.65,USD,1.05288,,"EUR",41.66,"EUR",,,,,,,,EOF2162229352,0.06,"EUR"
Deposit,2022-12-08 07:38:03,,,,,,,,,,500.00,"EUR",,,,,,,"Bank Transfer",e0618145-6c06-4f08-9286-2c0ea2d73ea1,,
Limit sell,2022-12-08 08:50:31,JE00BDD9QB77,LNIK,"WisdomTree Nickel 2x Leveraged",1.0000000000,95.30,USD,1.05152,23.95,"EUR",90.49,"EUR",,,,,,,,EOF2166968616,0.14,"EUR"
Dividend (Ordinary),2022-12-08 13:05:36,IL0065100930,ZIM,"ZIM Integrated Shipping Services",3.2538380000,2.21,USD,Not available,,,6.84,"EUR",2.40,USD,,,,,,,,
Market buy,2022-12-12 14:38:19,JE00BDD9QC84,LWEA,"WisdomTree Wheat 2x Leveraged",2.0000000000,14.81,USD,1.05561,,"EUR",28.09,"EUR",,,,,,,,EOF2170795200,0.04,"EUR"
Market buy,2022-12-12 14:38:31,IL0065100930,ZIM,"ZIM Integrated Shipping Services",2.0000000000,18.26,USD,1.05549,,"EUR",34.65,"EUR",,,,,,,,EOF2170795241,0.05,"EUR"
Market buy,2022-12-12 16:09:21,JE00BDD9QC84,LWEA,"WisdomTree Wheat 2x Leveraged",2.0000000000,15.16,USD,1.05243,,"EUR",28.84,"EUR",,,,,,,,EOF2171572620,0.04,"EUR"
Market buy,2022-12-12 16:11:06,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",1.0000000000,19.71,EUR,1.00000,,"EUR",19.71,"EUR",,,,,,,,EOF2171572804,,
Market buy,2022-12-13 12:45:04,IE00BK5BZY66,TSL2,"Leverage Shares 2x Tesla",0.5000000000,113.89,USD,1.05453,,"EUR",54.08,"EUR",,,,,,,,EOF2172809022,0.08,"EUR"
Dividend (Ordinary),2022-12-13 14:24:55,MHY8162K2046,SBLK,"Star Bulk Carriers",4.0235540000,1.20,USD,Not available,,,4.58,"EUR",0.00,USD,,,,,,,,
Dividend (Ordinary),2022-12-13 14:26:17,US4592001014,IBM,"IBM",0.5074221000,1.40,USD,Not available,,,0.68,"EUR",0.13,USD,,,,,,,,
Market buy,2022-12-15 10:29:00,JE00B3WFMB84,SJP3,"WisdomTree Short JPY Long USD 3x",0.5000000000,161.05,USD,1.06205,,"EUR",75.93,"EUR",,,,,,,,EOF2175045508,0.11,"EUR"
Market buy,2022-12-15 10:30:02,JE00B3XJ8K03,SGB3,"WisdomTree Short GBP Long USD 3x",1.0000000000,55.91,USD,1.06232,,"EUR",52.71,"EUR",,,,,,,,EOF2175045528,0.08,"EUR"
Market buy,2022-12-15 10:35:20,JE00BDD9Q956,LNGA,"WisdomTree Natural Gas 2x Leveraged",10.0000000000,3.94,USD,1.06201,,"EUR",37.15,"EUR",,,,,,,,EOF2175045634,0.06,"EUR"
Market buy,2022-12-15 10:37:03,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",20.0000000000,1.65,EUR,1.00000,,"EUR",33.05,"EUR",,,,,,,,EOF2175045668,,
Market buy,2022-12-15 10:37:38,IE00B4QNHZ41,DES2,"L&G DAX 2x Short (Acc)",10.0000000000,1.65,EUR,1.00000,,"EUR",16.52,"EUR",,,,,,,,EOF2175045686,,
Market buy,2022-12-15 10:38:30,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",10.0000000000,4.14,USD,1.06203,,"EUR",39.07,"EUR",,,,,,,,EOF2175045716,0.06,"EUR"
Market buy,2022-12-15 10:50:28,XS2297593456,SJPM,"Leverage Shares -1x Short JPMorgan",7.0000000000,4.82,USD,1.06179,,"EUR",31.80,"EUR",,,,,,,,EOF2175046067,0.05,"EUR"
Market buy,2022-12-16 10:20:24,XS2706225427,NV3S,"Leverage Shares -3x Short Nvidia NVDA",10.0000000000,4.59,USD,1.06206,,"EUR",43.24,"EUR",,,,,,,,EOF2176973350,0.06,"EUR"
Market sell,2022-12-16 15:26:54,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",40.0000000000,2.50,EUR,1.00000,-56.04,"EUR",100.04,"EUR",,,,,,,,EOF2177958278,,
Market sell,2022-12-16 15:27:09,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",20.0000000000,2.50,EUR,1.00000,-28.08,"EUR",49.96,"EUR",,,,,,,,EOF2177958330,,
Market sell,2022-12-16 15:34:50,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",4.8090000000,29.56,EUR,1.00000,-173.78,"EUR",142.15,"EUR",,,,,,,,EOF2177959595,,
Market sell,2022-12-16 15:35:02,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",2.0860800000,29.56,EUR,1.00000,-75.39,"EUR",61.66,"EUR",,,,,,,,EOF2177959616,,
Market buy,2022-12-16 15:35:10,US02079K3059,GOOGL,"Alphabet (Class A)",2.0000000000,90.29,USD,1.06173,,"EUR",170.34,"EUR",,,,,,,,EOF2177959640,0.26,"EUR"
Market buy,2022-12-16 15:35:32,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",0.5000000000,29.73,EUR,1.00000,,"EUR",14.87,"EUR",,,,,,,,EOF2177959690,,
Market sell,2022-12-16 15:35:39,IE00BF01VY89,GOOE,"Leverage Shares 2x Alphabet",0.5000000000,29.55,EUR,1.00000,-0.09,"EUR",14.78,"EUR",,,,,,,,EOF2177959704,,
Market buy,2022-12-16 15:35:54,US02079K3059,GOOGL,"Alphabet (Class A)",0.5000000000,90.28,USD,1.06161,,"EUR",42.58,"EUR",,,,,,,,EOF2177959751,0.06,"EUR"
Market sell,2022-12-16 15:36:25,IE00BK5C1C97,2BAE,"Leverage Shares 2x Alibaba",99.0001400000,1.25,EUR,1.00000,-63.19,"EUR",123.85,"EUR",,,,,,,,EOF2177959850,,
Market buy,2022-12-16 15:37:18,US01609W1027,AHLA,"Alibaba",1.6000000000,82.70,EUR,1.00000,,"EUR",132.32,"EUR",,,,,,,,EOF2177959986,,
Market sell,2022-12-16 15:37:39,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",6.8450000000,19.01,EUR,1.00000,-216.52,"EUR",130.12,"EUR",,,,,,,,EOF2177960022,,
Market sell,2022-12-16 15:37:40,IE00BF03XH11,AMZE,"Leverage Shares 2x Amazon",0.1210860000,19.02,EUR,1.00000,-3.83,"EUR",2.30,"EUR",,,,,,,,EOF2177960023,,
Market buy,2022-12-16 15:37:53,US0231351067,AMZN,"Amazon",1.6000000000,87.71,USD,1.06154,,"EUR",132.40,"EUR",,,,,,,,EOF2177960047,0.20,"EUR"
Market sell,2022-12-16 15:38:14,IE00BF03XP94,FB2E,"Leverage Shares 2x Facebook",55.6126680000,2.50,EUR,1.00000,-78.24,"EUR",138.75,"EUR",,,,,,,,EOF2177960085,,
Market buy,2022-12-16 15:38:37,US30303M1027,META,"Meta Platforms",1.2000000000,120.58,USD,1.06159,,"EUR",136.50,"EUR",,,,,,,,EOF2177960137,0.20,"EUR"
Market sell,2022-12-16 15:38:59,IE00BK5BZY66,TSL2,"Leverage Shares 2x Tesla",0.5000000000,89.00,USD,1.06179,-12.09,"EUR",41.85,"EUR",,,,,,,,EOF2177960179,0.06,"EUR"
Market buy,2022-12-16 15:39:30,US88160R1014,TSLA,"Tesla",0.3000000000,152.02,USD,1.06183,,"EUR",43.01,"EUR",,,,,,,,EOF2177960258,0.06,"EUR"
